Company Name,Industry,Instrument,Rating,Outlook
T.R.V. Food Corporation,Distributors,Cash Term Loan,#,
,,Letter of Comfort(LT),#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
T.S.B. Overseas,Trading Companies & Distributors,Cash Credit Limit,#,
,,Proposed Cash Credit Limit,#,
T.V.A.N. Jewellers,Engineering & Capital Goods,Long Term Bank Loan,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
T4 Tapes Private Limited,Containers & Packaging,Cash Credit Limit,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
TA Hydraulics Private Limited,Machinery,Cash Credit Limit,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Proposed Bank Guarantee,CRISIL A4,
,,Bank Guarantee limit,CRISIL A4,
TAFE Motors and Tractors Limited,Machinery,Short Term Debt,CRISIL A1+,
TAL Manufacturing Solutions Limited,Machinery,Cash Credit Limit,CRISIL A,Stable
,,Long Term Bank Loan,CRISIL A,Stable
,,Bill Discounting Facility,CRISIL A1,
,,Letter of Credit and Bank Guarantee,CRISIL A1,
TAPAL STEEL PRIVATE LIMITED,Metals & Mining,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Letter of Credit Limit,#,
TAQA Neyveli Power Company Private Limited,Independent Power Producers & Energy Traders,Cash Credit Limit,CRISIL AA-,Stable
,,Short Term Debt (Including Commercial Paper)(ST),CRISIL A1+,
,,Bank Guarantee limit,CRISIL A1+,
TATA AutoComp Hendrickson Suspensions Private Limited,Auto Components,Cash Credit Limit,CRISIL A+,Stable
,,Bank Guarantee limit,CRISIL A1+,
,,Letter of Credit Limit,CRISIL A1+,
TATA Autocomp GY Batteries Private Limited,Auto Components,Proposed Term Loan,CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
,,Term Loan Facilities,CRISIL BBB-,Stable
,,Working Capital Loan (LT),CRISIL BBB-,Stable
TATA Sky Limited,Media,Non Convertible Debenture,CRISIL A+,Positive
,,Long-Term Bank Facility,CRISIL A+,Positive
,,Short-Term Bank Facility,CRISIL A1+,
TCG Facilities Management Services Private Limited,Real Estate Development,Lease Rental Discounting Loan,CRISIL BBB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB-,Stable
TCG Urban Infrastructure Holdings Private Limited,Real Estate Development,Lease Rental Discounting Loan,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Over Draft,CRISIL BB,Stable
TCI Express Limited,Road & Rail,Cash Credit Limit,CRISIL AA-,Stable
,,Proposed Long-Term Bank Facility,CRISIL AA-,Stable
,,Bank Guarantee,CRISIL AA-,Stable
TCJ Impex Private Limited,Trading Companies & Distributors,Cash Credit Limit,CRISIL B,Stable
TCNS Limited,Engineering & Capital Goods,Export Packing Credit,#,
,,Cash Credit Limit,#,
,,Foreign Demand Bill Purchase,#,
,,Letter of Credit Limit,#,
TCP Limited,Independent Power Producers & Energy Traders,Proposed Long-Term Bank Facility,CRISIL BBB+,Stable
,,Cash Credit Limit,CRISIL BBB+,Stable
,,Fixed Deposit,FA-,Stable
,,Bank Guarantee limit,CRISIL A2,
,,Letter of Credit Limit,CRISIL A2,
TCS and Associates Private Limited,Specialty Retail,Cash Credit Limit,CRISIL BB,Stable
,,Stand by Line of Credit,CRISIL BB,Stable
,,Inventory Funding,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
TD Power Systems Limited,Electrical Equipment,Cash Credit Limit,CRISIL A-,Negative
,,Bank Guarantee limit,CRISIL A1,
,,Letter of Credit Limit,CRISIL A1,
TDB Spinners Private Limited,Engineering & Capital Goods,Cash Credit Limit,#,
,,Export Packing Credit limits,#,
TECHNO INDIA,Diversified Consumer Services,Over Draft,#,
,,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
