Company Name,Industry,Instrument,Rating,Outlook
,,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
V.K.A. Polymers Private Limited,Household Durables,Proposed Working Capital Facility,CRISIL BBB-,Stable
,,Letter of Credit Limit,CRISIL A3,
,,Letter Of Guarantee,CRISIL A3,
,,Packing Credit in Foreign Currency,CRISIL A3,
V.M.S. Hospital,Health Care Providers & Services,Long Term Bank Loan,CRISIL B-,Stable
V.N. INN Private Limited,Hotels Restaurants & Leisure,Over Draft,CRISIL B,Stable
,,Term Loan Facilities,CRISIL B,Stable
V.N.C. Steel Distributors,Distributors,Cash Credit Limit,CRISIL BBB,Stable
V.N.C.Electrodes,Metals & Mining,Cash Credit Limit,CRISIL BBB,Stable
V.N.C.Steels,Metals & Mining,Cash Credit Limit,#,
V.N.Dyers and Processors Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL BBB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB,Stable
V.N.M.A.D.Firm,Distributors,Cash Credit Limit,CRISIL B+,Stable
V.P. Mohammed Ayub,Construction & Engineering,Cash Credit Limit,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
V.P.K. Agro Food Product Private Limited,Food Products,Long Term Bank Loan,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
V.R. Spinning Mills Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL BB-,Stable
,,Corporate Loan,CRISIL BB-,Stable
V.R. Constructions,Real Estate Development,Cash Credit/ Overdraft facility,#,
V.R. Foundries,Machinery,Term Loan Facilities,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Bill Discounting Facility,CRISIL D,
V.R.N. Enterprises Private Limited,Distributors,Cash Credit Limit,CRISIL D,
V.S. Buildcon,Construction & Engineering,Cash Credit Limit,CRISIL D,
V.S. Cotton,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Over Draft,#,
,,Working Capital Demand Loan,#,
V.S. Export and Import,Distributors,Cash Credit Limit,CRISIL BB,Stable
,,Letter of Credit Limit,CRISIL A4+,
V.S. Selvamaligai,Engineering & Capital Goods,Cash Credit Limit,#,
V.S. Timber Industries,Distributors,Cash Credit Limit,CRISIL BB,Stable
,,Letter of Credit Limit,CRISIL A4+,
,,Foreign Letter of Credit,CRISIL A4+,
V.S. Timbers Private Limited,Distributors,Cash Credit Limit,CRISIL BB,Stable
,,Letter of Credit Limit,CRISIL A4+,
V.S. Transports,Distributors,Cash Credit Limit,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Letter of Credit Limit,CRISIL A4+,
V.S.Engineering Private Limited,Construction & Engineering,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
V.S.J. Industryy,Containers & Packaging,Export Packing Credit,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Proposed Short Term Bank Facility,CRISIL A4+,
,,Letter of Credit Limit,CRISIL A4+,
V.S.Lad and Sons,Metals & Mining,Packing Credits,#,
V.S.Steel,Metals & Mining,Cash Credit Limit,#,
,,Rupee Term Loans,#,
,,Letter of Credit Limit,#,
V.S.T. Auto Parts Private Limited,Specialty Retail,Inventory Funding,#,
V.S.T. Tillers Tractors Limited,Machinery,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Letter of Credit and Bank Guarantee,#,
V.T.Impex Limited,Distributors,Cash Credit Limit,#,
,,Term Loan Facilities,#,
V.U.S Timbers,Distributors,Cash Credit Limit,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Letter of Credit Limit,CRISIL A4+,
V.V.V and Sons Edible Oils Limited,Food Products,Term Loan Facilities,CRISIL BBB+,Negative
,,Cash Credit Limit,CRISIL BBB+,Negative
,,Short-Term Bank Facility,CRISIL A2,
V3 Engineers Private Limited,Household Durables,Cash Credit Limit,CRISIL B-,Stable
,,Proposed Long-Term Bank Facility,CRISIL B-,Stable
,,Letter of Credit Limit,CRISIL A4,
,,Bank Guarantee limit,CRISIL A4,
V3 Knitting Co.,Engineering & Capital Goods,Rupee Term Loans,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
V3 Megacorp International Private Limited,Construction & Engineering,Long Term Bank Loan,#,
,,Working Capital Term Loan,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
V3S Infratech Limited,Construction & Engineering,Cash Credit Limit,CRISIL D,
,,Term Loan Facilities,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
VA Hotels Private Limited,Hotels Restaurants & Leisure,Cash Credit Limit,#,
,,Rupee Term Loans,#,
,,Proposed Long-Term Bank Facility,#,
VAL Nirman Private Limited,Hotels Restaurants & Leisure,Proposed Term Loan,#,
,,Proposed Long-Term Bank Facility,#,
VBC Associates,Real Estate Development,Long Term Bank Loan,#,
,,Proposed Long-Term Bank Facility,#,
,,Bank Guarantee limit,#,
VBM Power And Infrastructure Private Limited,Electric Utilities,Term Loan Facilities,CRISIL D,
VBS Textiles Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL B+,Stable
,,Long Term Bank Loan,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
VDB Projects Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Over Draft,#,
,,Long Term Bank Loan,#,
,,Bank Guarantee limit,#,
VDH Organics Private Limited,Chemicals,Export Bill Negotiation,#,
,,Proposed Long-Term Bank Facility,#,
,,Over Draft,#,
,,Packing Credits,#,
,,Foreign Letter of Credit,#,
VDV Infraventures Private Limited,Real Estate Development,Term Loan Facilities,CRISIL BB-,Stable
VE-7 Ceramic,Building Products,Long Term Bank Loan,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
VFC Industries Private Limited,Containers & Packaging,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
VFPL ASIPL JV Company,Metals & Mining,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
VFPL GRPL DS JV Company,Metals & Mining,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
VFive Homes Private Limited,Real Estate Development,Cash Credit Limit,CRISIL B,Stable
VGN Developers Private Limited,Real Estate Development,Non Convertible Debenture,CRISIL D,
VGN Homes Private Limited,Real Estate Development,Long Term Bank Loan,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Over Draft,CRISIL B+,Stable
,,Bill Purchase,CRISIL A4,
VGP Marine Kingdom Private Limited,Hotels Restaurants & Leisure,Term Loan Facilities,CRISIL B+,Stable
VHB Life Sciences Limited,Distributors,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Inland/Import Letter of Credit,CRISIL A4+,
VHB Medisciences Limited,Pharmaceuticals,Term Loan Facilities,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
,,Working Capital Term Loan,CRISIL BB+,Stable
,,Working Capital Demand Loan,CRISIL BB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Inland/Import Letter of Credit,CRISIL A4+,
VHEL Industries Ltd.,Others,Non Convertible Debenture,@,
VHM Industries Limited,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Corporate Loan,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
VHP Real Estate (JV),Real Estate Development,Proposed Term Loan,CRISIL BB-,Stable
VHS Mechatronics Services ( P ) Limited,Machinery,Term Loan Facilities,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
,,Letter of Credit Limit,CRISIL D,
VHV Beverages Private Limited,Beverages,Term Loan Facilities,#,
,,Cash Credit Limit,#,
VIL International Private Limited,Distributors,Cash Credit Limit,CRISIL C,
,,Letter of Credit Limit,CRISIL A4,
VIN Auto,Specialty Retail,Cash Credit Limit,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Channel Financing (LT),CRISIL B,Stable
,,Term Loan Facilities,CRISIL B,Stable
VIP Industries Limited,Household Durables,Proposed Working Capital Facility,CRISIL AA-,Stable
,,Cash Credit & Working Capital demand loan,CRISIL AA-,Stable
,,Letter of Credit and Bank Guarantee,CRISIL A1+,
VJR Poultry Farms,Food Products,Long Term Bank Loan,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
VKC Footprints Global Private Limited,Engineering & Capital Goods,Long Term Bank Loan,CRISIL A-,Stable
,,Cash Credit Limit,CRISIL A-,Stable
,,Proposed Long-Term Bank Facility,CRISIL A-,Stable
VKC Footsteps India Private Limited,Engineering & Capital Goods,Term Loan Facilities,CRISIL A-,Stable
,,Cash Credit Limit,CRISIL A-,Stable
VKC Footwear International Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL BBB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB,Stable
VKN Lakshmi Agro Foods Private Limited,Food Products,Secured Overdraft Facility,CRISIL B,Stable
,,Long Term Bank Loan,CRISIL B,Stable
VKR Prakash Modern Rice Mill,Food Products,Cash Credit Limit,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
VKS Projects Limited,Construction & Engineering,Cash Credit Limit,#,
VM Coallogix Private Limited,Distributors,Proposed Cash Credit Limit,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
,,Proposed Letter of Credit,#,
