Company Name,Industry,Instrument,Rating,Outlook
,,Proposed Long-Term Bank Facility,CRISIL A,Stable
,,Non-Fund Based Limit,CRISIL A1,
LEcole Chempaka Society For Educare,Diversified Consumer Services,Cash Credit Limit,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Term Loan Facilities,CRISIL BB-,Stable
LGF Vitrified Private Limited,Building Products,Cash Credit Limit,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
LIC Housing Finance Limited,Housing Finance Company,Tier II Bond,CRISIL AAA,Stable
,,Long-Term Bank Facility,CRISIL AAA,Stable
,,Non Convertible Debenture,CRISIL AAA,Stable
,,Upper Tier II Bonds,CRISIL AAA,Stable
,,Fixed Deposit,FAAA,Stable
,,Short-Term Bank Facility,CRISIL A1+,
,,Commercial Paper,CRISIL A1+,
,,Structured Debt Obligation,CRISIL AAA(SO),
,,Pass Through Certificate,CRISIL AAA(SO),
LNV Technology Pvt Ltd,Electrical Equipment,Bank Guarantee limit,#,
LPF Systems Private Limited,Specialty Retail,Channel Financing (LT),CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
LPS Bossard Private Limited,Distributors,Bill Discounting,CRISIL BBB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB+,Stable
,,Cash Credit Limit,CRISIL BBB+,Stable
,,Bank Guarantee limit,CRISIL A2,
LSC Infratech Limited,Construction Materials,Cash Credit Limit,CRISIL BBB+,Stable
,,Term Loan Facilities,CRISIL BBB+,Stable
,,Stand by Line of Credit,CRISIL BBB+,Stable
LSR Foods Limited,Food Products,Cash Credit Limit,CRISIL B,Stable
,,Inland/Import Letter of Credit,CRISIL A4,
LSR Forge Private Limited,Metals & Mining,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
LT Foods Limited,Food Products,Working Capital Facility,CRISIL BBB+,Positive
,,Proposed Working Capital Facility,CRISIL BBB+,Positive
,,Proposed Long-Term Bank Facility,CRISIL BBB+,Positive
,,Term Loan Facilities,CRISIL BBB+,Positive
,,Letter of Credit Limit,CRISIL A2,
,,Letter of Credit and Bank Guarantee,CRISIL A2,
LTG Infrastructure Private Limited,Real Estate Development,Proposed Long-Term Bank Facility,CRISIL B,Stable
La Classic,Hotels Restaurants & Leisure,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
La Hospin Hotels And Resorts Private Limited,Hotels Restaurants & Leisure,Cash Credit Limit,#,
,,Term Loan Facilities,#,
La Renon Healthcare Private Limited,Pharmaceuticals,Cash Credit Limit,CRISIL BBB+,Stable
,,Sales Bill Discounting,CRISIL A2,
La-Gajjar Machineries Private Limited,Machinery,Cash Credit & Working Capital demand loan,CRISIL A,Stable
,,Proposed Long-Term Bank Facility,CRISIL A,Stable
,,Cash Credit Limit,CRISIL A,Stable
,,Long Term Bank Loan,CRISIL A,Stable
,,Proposed Short Term Bank Facility,CRISIL A1,
,,Inland/Import Letter of Credit,CRISIL A1,
La-Tim Sourcing (India) Private Limited,Distributors,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Letter of Credit Limit,CRISIL A4+,
Labdhi International - Mumbai,Distributors,Letter of Credit Limit,CRISIL A4+,
Labindia Instruments Private Limited,Electronic Equipment Instruments & Components,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
Laborate Pharmaceuticals India Limited,Pharmaceuticals,Cash Credit Limit,#,
,,Packing Credits,#,
Lacma Panel Industries LLP,Construction Materials,Term Loan Facilities,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Proposed Non Fund based limits,CRISIL A4,
Lacton Tiles Private Limited,Building Products,Proposed Long-Term Bank Facility,CRISIL B-,Stable
,,Cash Credit Limit,CRISIL B-,Stable
,,Term Loan Facilities,CRISIL B-,Stable
,,Bank Guarantee limit,CRISIL A4,
Lactose India Limited,Pharmaceuticals,Term Loan Facilities,CRISIL BB-,Negative
,,Cash Credit Limit,CRISIL BB-,Negative
Ladhar Paper Mills,Paper & Forest Products,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
Ladhuram Toshniwal and Sons,Distributors,Cash Credit Limit,CRISIL BB,Stable
Lado Ceramic Pvt. Ltd.,Building Products,Term Loan Facilities,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
Laffans Granito Private Limited,Building Products,Cash Credit Limit,CRISIL BB-,Stable
,,Term Loan Facilities,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
Laffans Petrochemicals Limited,Chemicals,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Letter of Credit and Bank Guarantee,#,
,,Proposed Short Term Bank Facility,#,
Lagan Engineering Company Limited,Machinery,Cash Credit Limit,CRISIL D,
,,Term Loan Facilities,CRISIL D,
,,Proposed Long-Term Bank Facility,CRISIL D,
,,Letter of Credit Limit,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
Laguna Clothing Private Limited,Textiles- Apparel & Luxury Goods,Letter of Credit Limit,#,
,,Packing Credits,#,
Laham Exports India Private Limited,Food Products,Rupee Term Loans,#,
Lahari Holiday Homes Limited,Hotels Restaurants & Leisure,Proposed Long-Term Bank Facility,#,
,,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
Lahari Laminates Private Limited,Construction Materials,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Letter of Credit Limit,#,
Lahariya Oil Industries Private Limited,Food Products,Term Loan Facilities,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
Laheri Cotton Industries,Engineering & Capital Goods,Cash Credit Limit,CRISIL B+,Stable
Lahliwala Steels Private Limited,Metals & Mining,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
Lahore Hospital Society,Health Care Providers & Services,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
