Company Name,Industry,Instrument,Rating,Outlook
,,Term Loan Facilities,CRISIL B,Stable
B. R. Oil Mills,Food Products,Term Loan Facilities,CRISIL BB+,Stable
,,Proposed Fund-Based Bank Limits,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
B. R. Steel Products Private Limited,Chemicals,Cash Credit Limit,CRISIL D,
,,Pre Shipment Credit,CRISIL D,
B. Ramanaiah Constructions,Construction & Engineering,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
B. S. Innovations,Engineering & Capital Goods,Proposed Working Capital Facility,CRISIL B+,Stable
,,Stand by Line of Credit,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Bill Discounting,CRISIL B+,Stable
,,Export Packing Credit,CRISIL B+,Stable
B. S. P. Refineris,Food Products,Capital Protected Fund Rating,CRISIL BB+,Stable
B. S. Sea Foods Private Limited,Food Products,Proposed Cash Credit Limit,CRISIL BB-,Stable
,,Long Term Bank Loan,CRISIL BB-,Stable
,,Working Capital Demand Loan,CRISIL BB-,Stable
,,Proposed Term Loan,CRISIL BB-,Stable
,,Export Packing Credit limits,CRISIL A4+,
B. S. Securities,Broking Company,Bank Guarantee limit,CRISIL A4+,
B. Soni Jewellers,Textiles- Apparel & Luxury Goods,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
B. T. Industries Private Limited,Food Products,Cash Credit Limit,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
B. T. Kadlag Construction Private Limited,Construction & Engineering,Proposed Bank Guarantee ? Long-Term,#,
,,Proposed Cash Credit Limit,#,
,,Cash Credit Limit,#,
B. V. Chaudhary,Construction & Engineering,Cash Credit Limit,CRISIL BB-,Stable
,,Term Loan Facilities,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
B.B. Asia Impex Private Limited,Distributors,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
B.B. Styro Extrusion Private Limited,Containers & Packaging,Cash Credit Limit,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
,,Inland/Import Letter of Credit,CRISIL A4,
B.B.K. Leathers Private Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,CRISIL BBB,Stable
,,Foreign Bill Negotiation,CRISIL A3+,
,,Export Packing Credit limits,CRISIL A3+,
,,Letter of Credit Limit,CRISIL A3+,
,,Standby Line Of Credit,CRISIL A3+,
B.Bucha Reddy and Co,Construction & Engineering,Over Draft,CRISIL D,
,,Proposed Long-Term Bank Facility,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
B.D Steels Private Limited,Distributors,Channel Financing (LT),#,
,,Cash Credit Limit,#,
B.D.Castings Limited,Metals & Mining,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
B.E. Billimoria And Company Limited,Construction & Engineering,Working Capital Term Loan,#,
,,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Working Capital Demand Loan,#,
,,Proposed Long-Term Bank Facility,#,
,,Bank Guarantee limit,#,
,,Foreign Exchange Facility,#,
,,Buyers Credit Limit,#,
,,Short-Term Loan,#,
,,Cash Management Service,#,
,,Letter of Credit Bill Discounting,#,
,,Letter of Credit Limit,#,
B.E. Contracts Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Bill Purchase-Discounting Facility,#,
B.G. Distributors Private Limited,Distributors,Over Draft,CRISIL BB+,Stable
B.G.M.Consortium Limited,Construction & Engineering,Stand by Line of Credit,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
B.J.Expo Private Limited,Textiles- Apparel & Luxury Goods,Long Term Bank Loan,#,
,,Letter of Credit Limit,#,
,,Foreign Bill Purchase Limit,#,
,,Packing Credits,#,
,,Bank Guarantee limit,#,
,,Standby Line Of Credit,#,
B.K. Construction,Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
B.K. Print and Pack,Containers & Packaging,Cash Credit Limit,#,
,,Term Loan Facilities,#,
B.K.Rolling Mills Private Limited,Metals & Mining,Cash Credit Limit,#,
B.K.S.Textiles Private Limited,Household Durables,Long Term Bank Loan,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Packing Credits,CRISIL A4+,
,,Foreign Discounting Bill Purchase,CRISIL A4+,
B.L Mehta Constructions Private Limited,Construction & Engineering,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
B.L. Agro Oils Limited,Food Products,Cash Credit Limit,CRISIL BBB,Positive
,,Term Loan Facilities,CRISIL BBB,Positive
B.L. International Private Limited,Engineering & Capital Goods,Term Loan Facilities,CRISIL BB,Stable
,,Proposed Fund-Based Bank Limits,CRISIL BB,Stable
,,Working Capital Term Loan,CRISIL BB,Stable
,,Over Draft,CRISIL BB,Stable
,,Export Packing Credit & Export Bills Negotiation/Foreign Bill discounting(ST),CRISIL A4+,
B.L.D.E. University,Diversified Consumer Services,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Bank Guarantee limit,#,
B.M. Agro Industries Limited,Textiles- Apparel & Luxury Goods,Warehouse Financing,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
B.M. Malhotra and Sons Limited,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
B.M. Trivedi,Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
B.N.Garodia,Construction & Engineering,Bank Guarantee limit,#,
B.N.M. Hi-Tech Agro Industries,Food Products,Proposed Cash Credit Limit,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
B.N.R. Constructions,Construction & Engineering,Over Draft,CRISIL BB-,Stable
,,Long Term Bank Loan,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
B.P. Agency,Trading Companies & Distributors,Channel Financing (LT),CRISIL B,Stable
B.P.Packagings Private Limited,Containers & Packaging,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Term Loan Facilities,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
B.R. Agro Foods Private Limited,Food Products,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Term Loan Facilities,#,
B.S. Sponge Private Limited,Metals & Mining,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Letter of Credit and Bank Guarantee,CRISIL A4,
B.S.Industries,Engineering & Capital Goods,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
B.S.R. Builders Engineers and Contractors,Real Estate Development,Term Loan Facilities,CRISIL B-,Stable
,,Overdraft Facility,CRISIL A4,
B.T.C Private Limited,Distributors,Packing Credits,#,
B.V.S. Distilleries Private Limited,Beverages,Long Term Bank Loan,CRISIL B,Stable
B2B Connections Private Limited,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
BASF India Limited,Chemicals,Non Convertible Debenture,CRISIL AAA,Negative
,,Fixed Deposit,FAAA,Stable
,,Commercial Paper,CRISIL A1+,
BC Power Controls Limited,Electrical Equipment,Cash Credit Limit,CRISIL BB,Stable
,,Letter of Credit Limit,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
,,Packing Credits,CRISIL A4+,
,,Foreign Bill Purchase Limit,CRISIL A4+,
BCH Electric Limited,Electrical Equipment,Rupee Term Loans,CRISIL BBB,Stable
,,Cash Credit Limit,CRISIL BBB,Stable
,,Letter of Credit Limit,CRISIL A3+,
,,Bank Guarantee limit,CRISIL A3+,
,,Proposed Short Term Bank Facility,CRISIL A3+,
BCL Industries and Infrastructure Limited,Food Products,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
BCPL Railway Infrastructure Limited,Machinery,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Bank Guarantee limit,#,
BCV Developers Private Limited,Real Estate Development,Term Loan Facilities,CRISIL BBB+,Stable
BDB Exports Private Limited,Distributors,Export Packing Credit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
BDG Metal and Power Limited,Metals & Mining,Proposed Fund-Based Bank Limits,CRISIL BBB,Stable
,,Term Loan Facilities,CRISIL BBB,Stable
,,Cash Credit Limit,CRISIL BBB,Stable
,,Letter of Credit Limit,CRISIL A3+,
BDH Enterprises India,Distributors,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
BDH Industries Limited,Pharmaceuticals,Proposed Long-Term Bank Facility,CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
,,Foreign Bill Purchase Limit,CRISIL A3,
,,Bank Guarantee limit,CRISIL A3,
,,Export Bill Purchase,CRISIL A3,
,,Letter of Credit Limit,CRISIL A3,
,,Export Packing Credit limits,CRISIL A3,
BDS Projects India Private Limited,Construction & Engineering,Secured Overdraft Facility,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Letter Of Guarantee,CRISIL A4+,
BE Gold Private Limited,Engineering & Capital Goods,Bill Purchase - Discounting,CRISIL BB,Stable
,,Letter of Credit Limit,CRISIL A4+,
BF Infrastructure Limited,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL BB+,Negative
,,Over Draft,CRISIL BB+,Negative
,,Bank Guarantee limit,CRISIL A4+,
BFCL Terminal Private Limited,Oil Gas & Consumable Fuels,Long Term Bank Loan,CRISIL BBB-,Stable
BGA Realtors,Real Estate Development,Proposed Term Loan,CRISIL BB-,Stable
BHARAT INDUSTRIAL WORKS (BHILAI) PRIVATE LIMITED,Machinery,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
BHARAT Industries,Machinery,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Packing Credit in Foreign Currency,#,
BHL Forex and Finlease Limited,Real Estate Development,Term Loan Facilities,#,
,,Overdraft Facility,#,
BHP Infrastructure Private Limited,Machinery,Term Loan Facilities,#,
,,Cash Credit Limit,#,
