Company Name,Industry,Instrument,Rating,Outlook
IKAA Granito Private Limited,Building Products,Term Loan Facilities,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
IKF Technologies Limited,IT Services,Term Loan Facilities,CRISIL B+,
,,Cash Credit Limit,CRISIL B+,
,,Bank Guarantee limit,CRISIL A4,
IKM Investors Private Limited,Broking Company,Bank Guarantee limit,CRISIL A2,
ILC Industries Limited,Food Products,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
IM Gears Private Limited,Auto Components,Long Term Bank Loan,CRISIL A-,Stable
,,Proposed Long-Term Bank Facility,CRISIL A-,Stable
,,Export Packing Credit,CRISIL A-,Stable
,,Cash Credit Limit,CRISIL A-,Stable
,,Stand by Line of Credit,CRISIL A-,Stable
,,Letter of Credit and Bank Guarantee,CRISIL A2+,
,,Foreign Bill Discounting,CRISIL A2+,
,,Proposed Short Term Bank Facility,CRISIL A2+,
,,Bank Guarantee limit,CRISIL A2+,
,,Letter of Credit Limit,CRISIL A2+,
,,Overdraft Facility,CRISIL A2+,
IMAC India Coach Builders Private Limited,Auto Components,Cash Credit Limit,CRISIL BBB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB-,Stable
,,Bank Guarantee limit,CRISIL A3,
IMP Energy Limited,Electrical Equipment,Cash Credit Limit,CRISIL BB-,Stable
,,Letter of Credit Limit,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
IMPS Educational Trust,Diversified Consumer Services,Term Loan Facilities,CRISIL BB,Stable
IMS Mercantiles Private Limited,Distributors,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Foreign Exchange Forwards,CRISIL A4+,
,,Letter of Credit Limit,CRISIL A4+,
INA India Limited,Chemicals,Term Loan Facilities,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Letter of Credit Limit,CRISIL A4+,
IND Sphinx Precision Limited,Machinery,Term Loan Facilities,CRISIL BBB,Stable
,,Letter of Comfort(LT),CRISIL BBB,Stable
,,Rupee Term Loans,CRISIL BBB,Stable
,,Cash Credit Limit,CRISIL BBB,Stable
,,Letter of Credit Limit,CRISIL A3+,
INFINA Finance Private Ltd,Non Banking Financial Company,Commercial Paper,CRISIL A1+,
,,Commercial Paper Issue(ST),CRISIL A1+,
ION Exchange India Limited,Construction & Engineering,Term Loan Facilities,CRISIL A-,Stable
,,Cash Credit Limit,CRISIL A-,Stable
,,Proposed Cash Credit Limit,CRISIL A-,Stable
,,Letter of Credit and Bank Guarantee,CRISIL A2+,
,,Bank Guarantee limit,CRISIL A2+,
,,Proposed Short Term Bank Facility,CRISIL A2+,
IOT Utkal Energy Services Limited,Oil Gas & Consumable Fuels,Non Convertible Debenture(SO),CRISIL AAA(SO),Stable
IPCA Laboratories Limited,Pharmaceuticals,Non Convertible Debenture,CRISIL AA-,Stable
,,Short Term Debt,CRISIL A1+,
IPM Engineering Limited,Metals & Mining,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
IRAA Clothing Private Limited,Engineering & Capital Goods,Proposed Cash Credit Limit,CRISIL BBB-,Stable
,,Proposed Term Loan,CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
,,Term Loan Facilities,CRISIL BBB-,Stable
,,Letter of Credit Limit,CRISIL A3,
,,Proposed Letter of Credit,CRISIL A3,
IRC Natural Resources Private Limited,Metals & Mining,Cash Credit Limit,CRISIL BBB-,Stable
,,Bank Guarantee limit,CRISIL A3,
ISC Projects Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Bank Guarantee limit,#,
ISH Travel and Tours Private Limited,Hotels Restaurants & Leisure,Over Draft,#,
,,Bank Guarantee limit,#,
ISR Exports Private Limited,Textiles- Apparel & Luxury Goods,Letter of Credit Limit,#,
ISR Infra Private Limited,Construction & Engineering,Working Capital Term Loan,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Open Cash Credit,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
ISS SDB Security Services Private Limited,Commercial Services & Supplies,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
IT Expressway Limited,Transportation Infrastructure,Proposed Long-Term Bank Facility,#,
,,Long Term Bank Loan,#,
ITA Lake Ceramic Private Limited,Building Products,Term Loan Facilities,CRISIL BB+,Positive
,,Cash Credit Limit,CRISIL BB+,Positive
,,Bank Guarantee limit,CRISIL A4+,
ITC Limited,Tobacco,Long-Term Bank Facility,CRISIL AAA,Stable
,,Short-Term Bank Facility,CRISIL A1+,
ITFT Consultancy Private Limited,Diversified Consumer Services,Proposed Working Capital Facility,CRISIL B+,Stable
,,Overdraft Facility,CRISIL A4,
,,Proposed Short Term Bank Facility,CRISIL A4,
ITL Industries Limited,Machinery,Stand by Line of Credit,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
ITP Electronics Private Limited,Electrical Equipment,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
IUA Trust,Hotels Restaurants & Leisure,Secured Overdraft Facility,CRISIL D,
,,Term Loan Facilities,CRISIL D,
IV County Private Limited,Real Estate Development,Term Loan Facilities,CRISIL BB,Stable
IVP Limited,Machinery,Proposed Long-Term Bank Facility,CRISIL BBB,Positive
,,Cash Credit Limit,CRISIL BBB,Positive
,,Letter Of Guarantee,CRISIL A3+,
,,Letter of Credit Limit,CRISIL A3+,
,,Inland/Import Letter of Credit,CRISIL A3+,
IVY Health and Life Sciences Private Limited,Health Care Providers & Services,Term Loan Facilities,#,
IZMO Limited,Internet Software & Services,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
,,Packing Credits,#,
Ibaj Trading Establishment,Distributors,Rupee Term Loans,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
Ibex Engineering Private Limited,Auto Components,Term Loan Facilities,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Proposed Cash Credit Limit,CRISIL B,Stable
,,Export Packing Credit limits,CRISIL A4,
Iceberg Foods Limited,Beverages,Cash Credit Limit,#,
,,Rupee Term Loans,#,
,,Letter of Credit Limit,#,
Icewear Creation,Textiles- Apparel & Luxury Goods,Long Term Bank Loan,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
,,Export Packing Credit limits,#,
,,Foreign Bill Purchase Limit,#,
Icon Cables Limited,Electrical Equipment,Term Loan Facilities,CRISIL B,Stable
,,Proposed Fund-Based Bank Limits,CRISIL B,Stable
,,SME Credits,CRISIL B,Stable
