Company Name,Industry,Instrument,Rating,Outlook
J. K. Rice Mills,Food Products,Warehouse Receipts,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
J. Kamakshi,Real Estate Development,Term Loan Facilities,#,
J. Kirit and Brothers,Distributors,Letter of Credit Limit,CRISIL A4+,
J. M. D. Industries,Containers & Packaging,Term Loan Facilities,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Working Capital Facility,CRISIL B,Stable
J. M. Feed Mills Private Limited,Food Products,Cash Credit Limit,CRISIL D,
J. M. Financial and Investment Consultancy Services Private Limited,Broking Company,Short Term Debt,CRISIL A1+,
J. M. Mhatre Infra Private Limited,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Standby Fund-Based Limits,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
J. Maheshkumar Petrochemicals Private Limited,Distributors,Proposed Overdraft Facility,CRISIL BBB,Stable
,,Over Draft,CRISIL BBB,Stable
,,Overdraft Facility,CRISIL A3+,
,,Channel Financing,CRISIL A3+,
,,Bill Discounting under Letter of Credit,CRISIL A3+,
J. N. Tayal Steels Private Limited,Metals & Mining,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
J. N. Traders,Distributors,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
J. Nizar,Construction & Engineering,Bill Discounting,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
J. P. Industries,Food Products,Cash Credit Limit,CRISIL D,
J. P. Rice Mills - Fatehabad,Food Products,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
J. Poonamchand and Sons,Trading Companies & Distributors,Cash Credit Limit,#,
,,Letter of Credit (LC),#,
,,Proposed Long-Term Bank Facility,#,
,,Stand by Line of Credit,#,
J. R. Agritech Pvt Ltd,Commercial Services & Supplies,Cash Credit Limit,#,
,,Term Loan Facilities,#,
J. R. Agrotech Private Limited,Food Products,Proposed Cash Credit Limit,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Proposed Long-Term Bank Facility,CRISIL D,
,,Term Loan Facilities,CRISIL D,
,,Warehouse Receipts(ST),CRISIL D,
,,Proposed Short Term Bank Facility,CRISIL D,
,,Foreign Exchange Forwards,CRISIL D,
J. R. Textiles,Engineering & Capital Goods,Term Loan Facilities,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
J. Ramachandraiah,Real Estate Development,Long Term Bank Loan,#,
J. S. Auto Private Limited,Automobiles,Term Loan Facilities,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Stand by Line of Credit,CRISIL BB,Stable
,,Letter of Credit Limit,CRISIL A4+,
J. S. Bedi Agro Industries,Food Products,Warehouse Financing,#,
,,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
J. S. Fourwheel Motors Private Limited,Specialty Retail,Cash Credit Limit,CRISIL BBB+,Stable
,,Rupee Term Loans,CRISIL BBB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB+,Stable
J. S. K Steels Private Limited,Metals & Mining,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Rupee Term Loans,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
J. S. R. M. Foods,Food Products,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
J. Y. International,Household Durables,Term Loan Facilities,CRISIL BB,Stable
,,Export Packing Credit,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
J.A. Foods,Food Products,Working Capital Demand Loan,#,
,,Long Term Bank Loan,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
J.B. Syntex Private Limited,Engineering & Capital Goods,Rupee Term Loans,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Letter of Credit Limit,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
J.B.A. Steels,Metals & Mining,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Bank Guarantee limit,#,
,,Bill Purchase-Discounting Facility,#,
,,Letter of Credit Limit,#,
J.B.C. Industries,Trading Companies & Distributors,Cash Credit Limit,CRISIL B-,Stable
J.C. Brothers Jewellers,Engineering & Capital Goods,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Cash Credit Limit,CRISIL BB+,Stable
J.C. Brothers Retail Private Limited,Specialty Retail,Cash Credit Limit,#,
,,Term Loan Facilities,#,
J.C.Brothers Projects Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
J.D. Industries India Limited,Machinery,Cash Credit Limit,#,
,,Stand by Line of Credit,#,
,,Term Loan Facilities,#,
,,Letter of Credit and Bank Guarantee,#,
J.G. Agro Foods,Food Products,Term Loan Facilities,CRISIL D,
,,Proposed Cash Credit Limit,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Warehouse Receipts,CRISIL D,
J.G.Chemicals Private Limited,Chemicals,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Term Loan Facilities,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
J.G.Spinning Mills Private Limited,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Bank Guarantee limit,#,
J.H.V. Steels Limited,Metals & Mining,Cash Credit Limit,#,
,,Term Loan Facilities,#,
J.J. Plastalloy Private Limited,Chemicals,Cash Credit Limit,CRISIL BB+,Stable
,,Long Term Bank Loan,CRISIL BB+,Stable
,,Letter of Credit Limit,CRISIL A4+,
,,Packing Credits,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
J.J. Polyplast Private Limited,Distributors,Letter of Credit Limit,#,
J.J.Glastronics Private Limited,Electronic Equipment Instruments & Components,Foreign Bill Purchase Limit,#,
,,Bank Guarantee limit,#,
,,Packing Credits,#,
J.K. Agro Food Industries,Food Products,Cash Credit Limit,CRISIL B-,Stable
,,Long Term Bank Loan,CRISIL B-,Stable
J.K. Engineers - Jammu,Electrical Equipment,Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
J.K. Fisheries,Food Products,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Cash Credit Limit,CRISIL B+,Stable
,,Bill Discounting under Letter of Credit,CRISIL A4,
J.K. Industries,Food Products,Cash Credit Limit,CRISIL B+,Stable
J.K. International,Building Products,Proposed Term Loan,CRISIL B,Stable
,,Cash Term Loan,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
