Company Name,Industry,Instrument,Rating,Outlook
,,Cash Credit Limit,CRISIL B-,Stable
,,Letter of Credit Limit,CRISIL A4,
P. K. Agri Link Private Limited,Food Products,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
P. K. Builders,Construction & Engineering,Over Draft,CRISIL BB-,Stable
,,Proposed Bank Guarantee,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
P. K. Cereals Private Limited,Food Products,Proposed Long-Term Bank Facility,#,
,,Stand by Line of Credit,#,
,,Cash Credit Limit,#,
P. K. Foundation,Diversified Consumer Services,Term Loan Facilities,#,
P. K. Jewellers Private Limited,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
P. L. Associates,Distributors,Cash Credit Limit,CRISIL B,Stable
,,Foreign Letter of Credit (LT),CRISIL B,Stable
P. L. Motors Limited,Specialty Retail,Cash Credit Limit,#,
P. M. Industries - Jalalabad,Food Products,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
P. Mohammed,Construction & Engineering,Proposed Term Loan,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
P. Murugesan,Construction & Engineering,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
P. N. Memorial Neurocentre and Research Institute Limited,Health Care Providers & Services,Term Loan Facilities,CRISIL BBB,Stable
,,Cash Credit Limit,CRISIL BBB,Stable
P. P. Steel Corporation,Metals & Mining,Cash Credit Limit,CRISIL BB+,Stable
P. Patel Ship Breaking Company,Marine,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Letter of Credit Limit,#,
P. Perichi Gounder Memorial Charitable Trust,Diversified Consumer Services,Term Loan Facilities,#,
,,Cash Credit Limit,#,
P. Prabhakar Reddy,Construction & Engineering,Term Loan Facilities,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
P. Prabhakaran,Construction & Engineering,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
P. Praful And Company Agency (India) Private Limited,Chemicals,Cash Credit Limit,CRISIL B,Stable
P. R. Fasteners Private Limited,Auto Components,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Long Term Bank Loan,CRISIL BB,Stable
P. R. Packing Service,Containers & Packaging,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Line of Credit (LT),CRISIL B,Stable
,,Term Loan Facilities,CRISIL B,Stable
P. R. Patel AND Co.,Construction & Engineering,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
P. R. Patil,Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
P. R. S. Timbers,Paper & Forest Products,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
P. R. Steels,Household Durables,Term Loan Facilities,#,
,,Cash Credit Limit,#,
P. Rajesh and Co.,Engineering & Capital Goods,Packing Credits,CRISIL A4,
,,Export Bill Discounting,CRISIL A4,
P. S. Enterprises - Ghaziabad,Distributors,Cash Credit Limit,CRISIL BB-,Stable
P. S. Infrabuild Private Limited,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Term Loan Facilities,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
P. Sri Ramulu,Trading Companies & Distributors,Cash Credit Limit,CRISIL B,Stable
P. V. Ramanaiah and Company,Construction & Engineering,Cash Credit Limit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
P.A. Times Industries Unit-II,Machinery,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Letter of Credit and Bank Guarantee,CRISIL A4+,
P.A.S. Petro Product,Distributors,Cash Credit Limit,CRISIL B,Stable
,,Foreign Letter of Credit,CRISIL A4,
P.B.I Construction Company,Construction & Engineering,Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Overdraft Facility,CRISIL A4+,
P.B.L. Transport Corporation Private Limited,Road & Rail,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Bank Guarantee limit,#,
P.C. Jain and Company,Construction & Engineering,Over Draft,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
P.C. Thomas AND Co.,Construction & Engineering,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
P.C.Chandra and Sons India Private Limited,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Proposed Short Term Bank Facility,#,
P.C.S Trades,Distributors,Cash Credit Limit,CRISIL B,Stable
P.C.S. Apex,Distributors,Over Draft,CRISIL B,Stable
P.C.S. Transports,Road & Rail,Term Loan Facilities,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
P.D. Agro Processors,Food Products,Term Loan Facilities,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
P.D.Agrawal Infrastructure Limited,Construction & Engineering,Term Loan Facilities,CRISIL BBB+,Stable
,,Cash Credit Limit,CRISIL BBB+,Stable
,,Bank Guarantee limit,CRISIL A2,
P.G.M. Ferro Steels (P) Ltd.,Metals & Mining,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
P.I. Jewellers Private Limited,Distributors,Cash Credit Limit,#,
P.K. Construction Co,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
P.K. International Exports Limited,Textiles- Apparel & Luxury Goods,Term Loan Facilities,#,
,,Export Post-Shipment Credit,#,
,,Export Packing Credit limits,#,
,,Letter of Credit Limit,#,
,,Standby Line Of Credit,#,
P.K. Overseas Private Limited,Food Products,Cash Credit Limit,#,
,,Packing Credits,#,
,,Letter of Credit Limit,#,
P.K. Sulphiker,Construction & Engineering,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
P.K.Hospitality Services Private Limited,Hotels Restaurants & Leisure,Term Loan Facilities,CRISIL BB-,Stable
,,Over Draft,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
P.L.A Foods Private Limited,Food Products,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
P.M. Electro-Auto Private Limited,Auto Components,Rupee Term Loans,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
P.M.K. Constructions (India) Private Limited,Construction & Engineering,Over Draft,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
P.M.P. Textiles Spinning Mills Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
P.Manickam and Co,Construction & Engineering,Over Draft,#,
,,Bank Guarantee limit,#,
P.N. Pulp and Paper Industries,Paper & Forest Products,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Letter of Credit and Bank Guarantee,#,
P.P Rice Mill Private Limited,Food Products,Cash Credit Limit,CRISIL B,Stable
,,Long Term Bank Loan,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
P.P. Telecell Marketing Private Limited,Distributors,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Letter of Credit,CRISIL A4+,
,,Foreign Letter of Credit,CRISIL A4+,
P.P.Kharpatil Constructions Private Limited,Construction & Engineering,Term Loan Facilities,CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB-,Stable
