Keys
ACCRUALS
AE
ASETTO
BBETA
BSEC
BSEH
BSEL
BSEO
BSEVOL
BVSH
BVSH1
BVSH3
BVSH5
CA
CAPRATIO
CASH
CASHDEBT
CASHRATIO
CASHTO
CE
CEPS
CEPS1
CEPS3
CEPS5
CFA
CFI
CFO
CFROA
CL
CRATIO
CREDIT
CROCI
CWIP
DAYWC
DCL
DEBT
DEBTEBIDT
DEP
DFL
DIV
DIV1
DIV3
DIV5
DIVCVR
DIVPAY
DIVSH
DIVYLD
DOL
EBIDT
EBIDT1
EBIDT3
EBIDT5
EBIDTPCT
EBIDTSH
EBIDTSH1
EBIDTSH3
EBIDTSH5
EPS
EPS1
EPS2
EPS5
EQASSET
EQCAP
ETO
ETR
EV
EVEBIDTA
EVEBIT
EVREV
EYIELD
FKD
FV
IBTPCT
IC
INT
INV
KD
KE
LBETA
LTDE
MCAP
NBLOCK
NBTO
NCF
NETPCT
NI1
NI3
NI5
NP
OEXPNS
OI
OP
OPCASHPCT
OPCF1
OPCF3
OPCF5
OPM1
OPM3
OPM5
OPMPCT
OPMSH
OPMSH1
OPMSH3
OPMSH5
PBDT
PBT
PBV
PCFO
PE
PEG
PS
RETRATIO
REV1
REV3
REV5
REVSH
REVSH1
REVSH3
REVSH5
ROA
ROCE
ROE
ROIC
RSRV
SDEBT
SHARE
SHAREFUND
SOLRATIO
SR
TA
TAX
TI
TIMINT
TL
UDEBT
WACC
WC
WCTO
WD
WE
EBIDT1Q
EBIDT4Q
EBIDT8Q
EBIDTSH1Q
EBIDTSH4Q
EBIDTSH8Q
EPS1Q
EPS4Q
EPS8Q
NI1Q
NI4Q
NI8Q
OP1Q
OP4Q
OP8Q
OPSH1Q
OPSH4Q
OPSH8Q
REV1Q
REV4Q
REV8Q
REVSH1Q
REVSH4Q
REVSH8Q
ADJCLOS
ASSOC
CI
EPSEX1
EPSEX3
EPSEXC
EXCEP
LTLOANS
MIBS
MIPL
NCI
NCL
OCA
ONCA
ONCL
PATBC
PBTE
PC
PROV
SHARECAP
STLOAN
EPSEX5
ADV
ADVYIELD
CASARAT
COSTINC
INTSPRD
INVYIELD
NIM
NNPARAT
BRANCH
CAPADQ
CASA
GNPA
GNPARAT
NNPA
PROVCOV
TIER1
TIER2
NA
ATM
OPMBCON
