Count,Sr.No.,Instrument,Company Name,Intial Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
48,48,BLR,A S Traders,CARE B+; Stable,01-11-17,,,,,,,,,,,,,,,,,,,,
49,49,BLR,A S Wood Impex Private Limited,CARE A3,17-08-15,,,,,,,,,,,,,,,,,,,,
50,50,BLR,A S Wood Impex Private Limited,CARE BBB-,17-08-15,CARE BBB-; Stable,31-01-18,,,,,,,,,,,,,,,,,,
51,51,BLR,A V R Valves Private Limited,CARE BB,27-02-14,CARE BB+; Stable,10-02-17,,,,,,,,,,,,,,,,,,
52,52,BLR,A V R Valves Private Limited,CARE BB,08-03-16,CARE BB+; Stable,10-02-17,,,,,,,,,,,,,,,,,,
53,53,BLR,A V R Valves Private Limited,CARE BB / CARE A4,27-02-14,CARE BB+; Stable / CARE A4+,10-02-17,,,,,,,,,,,,,,,,,,
54,54,BLR,A V R Valves Private Limited,CARE A4,27-02-14,CARE A4+,10-02-17,,,,,,,,,,,,,,,,,,
55,55,BLR,A V R Valves Private Limited,CARE A4,27-02-14,CARE A4+,10-02-17,,,,,,,,,,,,,,,,,,
56,56,BLR,A V R Valves Private Limited,CARE A4,27-02-14,CARE A4+,10-02-17,,,,,,,,,,,,,,,,,,
57,57,BLR,A V R Valves Private Limited,CARE A4,27-02-14,CARE A4+,10-02-17,,,,,,,,,,,,,,,,,,
58,58,BLR,A. G. Shares and Securities Limited,CARE A4,01-02-16,,,,,,,,,,,,,,,,,,,,
59,59,BLR,A. K. Builders,CARE A4,04-05-16,,,,,,,,,,,,,,,,,,,,
60,60,BLR,A. K. Builders,CARE BB-,04-05-16,CARE BB; Stable,03-05-17,,,,,,,,,,,,,,,,,,
61,61,BLR,A. K. Capital Finance Private Limited,CARE A+,16-10-14,CARE A+; Stable,08-01-18,,,,,,,,,,,,,,,,,,
62,62,ST Instruments,A. K. Capital Finance Private Limited,CARE A1+,13-12-12,,,,,,,,,,,,,,,,,,,,
63,63,BLR,A. K. Capital Finance Private Limited,CARE A+ (SO),09-11-12,CARE A+ (SO); Stable,08-01-18,,,,,,,,,,,,,,,,,,
64,64,BLR,A. K. Capital Services Limited,CARE A-,28-05-09,CARE A,09-03-10,CARE A+,06-12-10,CARE A+; Stable,08-01-18,,,,,,,,,,,,,,
65,65,BLR,A. P. Fashions Private Limited,CARE BB; Stable,22-12-17,,,,,,,,,,,,,,,,,,,,
66,66,BLR,A. P. Fashions Private Limited,CARE A4+,22-12-17,,,,,,,,,,,,,,,,,,,,
67,67,BLR,A. R. Enterprises,CARE A4,27-03-18,,,,,,,,,,,,,,,,,,,,
68,68,BLR,A. R. Enterprises,CARE BB; Stable,27-03-18,,,,,,,,,,,,,,,,,,,,
69,69,BLR,A. R. Enterprises,CARE BB; Stable,27-03-18,,,,,,,,,,,,,,,,,,,,
70,70,BLR,A. R. Enterprises,CARE BB; Stable,27-03-18,,,,,,,,,,,,,,,,,,,,
71,71,BLR,A. R. Fish Products,CARE BB; Stable,23-03-18,,,,,,,,,,,,,,,,,,,,
72,72,BLR,A. R. Fish Products,CARE BB; Stable,23-03-18,,,,,,,,,,,,,,,,,,,,
73,73,BLR,A. Thajudeen,CARE BB; Stable,02-08-17,,,,,,,,,,,,,,,,,,,,
74,74,BLR,A. Thajudeen,CARE A4,02-08-17,,,,,,,,,,,,,,,,,,,,
75,75,BLR,A. Toss And Sons (India) Limited,CARE BB+; Stable,14-06-17,,,,,,,,,,,,,,,,,,,,
76,76,BLR,A.C. Brothers,CARE A4+,06-05-15,CARE A3,28-02-17,,,,,,,,,,,,,,,,,,
77,77,BLR,A.C. Brothers,CARE BBB-; Stable,28-02-17,,,,,,,,,,,,,,,,,,,,
78,78,BLR,A.G. Hospitalities Private Limited,CARE B+,15-07-15,CARE B+; Stable,18-01-17,,,,,,,,,,,,,,,,,,
79,79,BLR,A.G. Hospitalities Private Limited,CARE B+,15-07-15,CARE B+; Stable,18-01-17,,,,,,,,,,,,,,,,,,
80,80,BLR,A.K. Soni Hosiery Mills Private Limited,CARE B+,18-04-16,CARE D,14-04-17,CARE D; INC,26-04-18,,,,,,,,,,,,,,,,
