Count,Sr.No.,Instrument,Company Name,Intial Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
4599,4599,BLR,Dharti Dredging & Infrastructure Limited,CARE BBB-,27-08-09,CARE B,18-12-09,CARE D,11-03-13,CARE C,28-01-14,CARE B-,20-03-14,CARE BB+,01-12-14,CARE BBB-,04-02-16,CARE D,24-11-17,,,,,,
4600,4600,BLR,Dharti Dredging & Infrastructure Limited,CARE B- / CARE A4,20-03-14,CARE BB+ / CARE A4+,01-12-14,CARE BBB- / CARE A3,04-02-16,CARE D,24-11-17,,,,,,,,,,,,,,
4601,4601,BLR,Dharwad Metallics Private Limited,CARE D,30-08-17,,,,,,,,,,,,,,,,,,,,
4602,4602,BLR,Dharwad Metallics Private Limited,CARE D,30-08-17,,,,,,,,,,,,,,,,,,,,
4603,4603,BLR,Dharwad Mishra Pedha and Food Processing Industry,CARE BB-,12-03-18,,,,,,,,,,,,,,,,,,,,
4604,4604,BLR,Dharwad Mishra Pedha and Food Processing Industry,CARE BB-,12-03-18,,,,,,,,,,,,,,,,,,,,
4605,4605,BLR,Dhawan Trading Company,CARE B,27-07-16,,,,,,,,,,,,,,,,,,,,
4606,4606,BLR,Dheer Agri Godowns,CARE A- (SO),09-03-15,,,,,,,,,,,,,,,,,,,,
4607,4607,BLR,Dheer Agri Godowns,CARE A- (SO),09-03-15,,,,,,,,,,,,,,,,,,,,
4608,4608,BLR,Dhingra Exports,CARE B+,27-03-17,CARE B+ / CARE A4,04-10-17,,,,,,,,,,,,,,,,,,
4609,4609,BLR,Dhiraj Engineers & Contractors,CARE A4,22-12-17,,,,,,,,,,,,,,,,,,,,
4610,4610,BLR,Dhiraj Engineers & Contractors,CARE A4,22-12-17,,,,,,,,,,,,,,,,,,,,
4611,4611,BLR,Dhiraj Engineers & Contractors,CARE BB-,22-12-17,,,,,,,,,,,,,,,,,,,,
4612,4612,BLR,Dhirendra Narayan Cold Storage Private Limited,CARE B+,08-02-18,,,,,,,,,,,,,,,,,,,,
4613,4613,BLR,Dhirendra Narayan Cold Storage Private Limited,CARE B+,08-02-18,,,,,,,,,,,,,,,,,,,,
4614,4614,BLR,Dhirendra Narayan Cold Storage Private Limited,CARE A4,08-02-18,,,,,,,,,,,,,,,,,,,,
4615,4615,BLR,Dholi Spintex Private Limited,CARE BBB-,28-08-17,,,,,,,,,,,,,,,,,,,,
4616,4616,BLR,Dhoot Transmission Private Limited,CARE BBB+,03-07-12,,,,,,,,,,,,,,,,,,,,
4617,4617,BLR,Dhoot Transmission Private Limited,CARE A-,18-11-16,,,,,,,,,,,,,,,,,,,,
4618,4618,BLR,Dhoot Transmission Private Limited,CARE BBB+,03-07-12,CARE A-,18-11-16,,,,,,,,,,,,,,,,,,
4619,4619,BLR,Dhoot Transmission Private Limited,CARE A2,03-07-12,CARE A2+,18-11-16,,,,,,,,,,,,,,,,,,
4620,4620,BLR,Dhoot Transmission Private Limited,CARE A2+,18-11-16,,,,,,,,,,,,,,,,,,,,
4621,4621,BLR,Dhoot Transmission Private Limited,CARE BBB+,03-07-12,CARE BBB+ / CARE A2,09-07-13,CARE A- / CARE A2+,18-11-16,,,,,,,,,,,,,,,,
4622,4622,BLR,Dhroov Resorts,CARE B,15-07-14,CARE D,11-03-16,,,,,,,,,,,,,,,,,,
4623,4623,BLR,Dhruv Cotex Private Limited,CARE B,02-06-16,CARE B+,09-03-17,,,,,,,,,,,,,,,,,,
4624,4624,BLR,Dhruv Cotton Processing Private Limited,CARE BB,28-07-15,,,,,,,,,,,,,,,,,,,,
4625,4625,BLR,Dhruv Cotton Processing Private Limited,CARE A4,28-07-15,,,,,,,,,,,,,,,,,,,,
4626,4626,BLR,Dhruv Cotton Processing Private Limited,CARE BB,03-08-15,,,,,,,,,,,,,,,,,,,,
4627,4627,BLR,Dhruv Cotton Processing Private Limited,CARE BB,03-08-15,,,,,,,,,,,,,,,,,,,,
4628,4628,BLR,Dhruv Industries Limited,CARE BB-,10-04-13,CARE BB,23-02-15,CARE BB+,07-03-16,,,,,,,,,,,,,,,,
4629,4629,BLR,Dhruv Industries Limited,CARE BB-,10-04-13,CARE BB,23-02-15,CARE BB+,07-03-16,,,,,,,,,,,,,,,,
4630,4630,BLR,Dhruv Industries Limited,CARE A4,10-04-13,CARE A4+,23-02-15,,,,,,,,,,,,,,,,,,
4631,4631,BLR,Dhruv Industries Limited,CARE A4,10-04-13,CARE A4+,23-02-15,,,,,,,,,,,,,,,,,,
4632,4632,BLR,Dhruv Industries Limited,CARE BB-,10-04-13,CARE A4+,23-02-15,,,,,,,,,,,,,,,,,,
4633,4633,BLR,Dhruv Wellness Limited,CARE BB,10-11-17,,,,,,,,,,,,,,,,,,,,
4634,4634,BLR,Dhruvi Pharma Private Limited,CARE A- (SO),04-11-16,,,,,,,,,,,,,,,,,,,,
4635,4635,BLR,Dhruvi Pharma Private Limited,CARE A- (SO),04-11-16,,,,,,,,,,,,,,,,,,,,
4636,4636,BLR,Dhule Palesner Tollway Limited,CARE A,24-05-16,,,,,,,,,,,,,,,,,,,,
4637,4637,LT Instruments,Dhule Palesner Tollway Limited,CARE A,24-05-16,,,,,,,,,,,,,,,,,,,,
4638,4638,BLR,Dhule Palesner Tollway Limited,CARE A-,24-05-16,,,,,,,,,,,,,,,,,,,,
4639,4639,BLR,Dhundhwal Brothers,CARE BB-,05-12-16,,,,,,,,,,,,,,,,,,,,
4640,4640,BLR,Dhundhwal Brothers,CARE A4,05-12-16,,,,,,,,,,,,,,,,,,,,
4641,4641,BLR,Dhunseri Tea & Industries Limited,CARE A+,19-02-16,,,,,,,,,,,,,,,,,,,,
4642,4642,BLR,Dhunseri Tea & Industries Limited,CARE A+,06-03-18,,,,,,,,,,,,,,,,,,,,
4643,4643,BLR,Dhunseri Tea & Industries Limited,CARE A+,16-10-14,,,,,,,,,,,,,,,,,,,,
4644,4644,BLR,Dhuria Rice Mill,CARE B,08-05-17,,,,,,,,,,,,,,,,,,,,
4645,4645,BLR,Diagems Exports Private Limited,CARE A4,15-10-12,CARE A4+,14-07-15,,,,,,,,,,,,,,,,,,
4646,4646,BLR,Diagems Exports Private Limited,CARE A4,23-06-14,CARE A4+,14-07-15,,,,,,,,,,,,,,,,,,
4647,4647,BLR,Diagold Creation Private Limited,CARE A4,25-01-13,CARE BB- / CARE A4,28-01-16,,,,,,,,,,,,,,,,,,
4648,4648,BLR,Dial Pharmaceuticals,CARE B+,05-02-18,,,,,,,,,,,,,,,,,,,,
4649,4649,BLR,Dial Pharmaceuticals,CARE B+,05-02-18,,,,,,,,,,,,,,,,,,,,
4650,4650,BLR,Dial Pharmaceuticals,CARE B+,05-02-18,,,,,,,,,,,,,,,,,,,,
4651,4651,BLR,Diamond Beverages Private Limited,CARE A3,18-01-16,,,,,,,,,,,,,,,,,,,,
4652,4652,BLR,Diamond Beverages Private Limited,CARE BB,13-08-12,CARE BB+,12-12-13,CARE BBB-,18-01-16,,,,,,,,,,,,,,,,
4653,4653,BLR,Diamond Beverages Private Limited,CARE BB,13-08-12,CARE BB+,12-12-13,CARE BBB-,18-01-16,,,,,,,,,,,,,,,,
4654,4654,BLR,Diamond Exports - Panipat,CARE A4,23-02-18,,,,,,,,,,,,,,,,,,,,
4655,4655,BLR,Diamond Exports - Panipat,CARE A4,23-02-18,,,,,,,,,,,,,,,,,,,,
4656,4656,BLR,Diamond Footcare Udyog Private Limited,CARE A4,22-11-16,,,,,,,,,,,,,,,,,,,,
4657,4657,BLR,Diamond Footcare Udyog Private Limited,CARE BB,22-11-16,,,,,,,,,,,,,,,,,,,,
4658,4658,BLR,Diamond Footcare Udyog Private Limited,CARE BB,22-11-16,,,,,,,,,,,,,,,,,,,,
4659,4659,BLR,Diamond Hometex India Private Limited,CARE A4,04-03-15,,,,,,,,,,,,,,,,,,,,
4660,4660,BLR,Diamond Hometex India Private Limited,CARE B,04-03-15,CARE BB-,25-01-16,,,,,,,,,,,,,,,,,,
4661,4661,BLR,Diamond Hometex India Private Limited,CARE B,04-03-15,CARE BB-,25-01-16,,,,,,,,,,,,,,,,,,
4662,4662,BLR,Diamond Solvex Private Limited,CARE B+,29-08-16,,,,,,,,,,,,,,,,,,,,
4663,4663,BLR,Diamond Solvex Private Limited,CARE B+,29-08-16,,,,,,,,,,,,,,,,,,,,
4664,4664,BLR,Diamond Solvex Private Limited,CARE B+,29-08-16,,,,,,,,,,,,,,,,,,,,
4665,4665,BLR,Diamond Solvex Private Limited,CARE B+,29-08-16,,,,,,,,,,,,,,,,,,,,
4666,4666,BLR,Diarough Manufacturing India LLP,CARE A4+,24-02-15,,,,,,,,,,,,,,,,,,,,
4667,4667,BLR,Diatrends Jewellery Private Limited,CARE BBB- / CARE A3,11-07-16,,,,,,,,,,,,,,,,,,,,
4668,4668,BLR,Diehard Dies Private Limited,CARE A4,15-02-18,,,,,,,,,,,,,,,,,,,,
4669,4669,BLR,Diehard Dies Private Limited,CARE A4,15-02-18,,,,,,,,,,,,,,,,,,,,
4670,4670,BLR,Diehard Dies Private Limited,CARE BB,15-02-18,,,,,,,,,,,,,,,,,,,,
4671,4671,BLR,Diehard Dies Private Limited,CARE BB,15-02-18,,,,,,,,,,,,,,,,,,,,
4672,4672,BLR,Diehard Dies Private Limited,CARE BB,15-02-18,,,,,,,,,,,,,,,,,,,,
4673,4673,BLR,Digamber Capfin Limited,CARE BB,18-02-14,CARE BB+,03-03-15,,,,,,,,,,,,,,,,,,
4674,4674,BLR,Digboi Carbon Private Limited,CARE BBB+,20-03-14,CARE BBB,21-10-16,,,,,,,,,,,,,,,,,,
4675,4675,BLR,Dighi Oil Storage Private Limited,CARE A (SO),04-11-14,,,,,,,,,,,,,,,,,,,,
4676,4676,BLR,Dighi Port Limited,CARE BB+ / CARE BB,03-12-08,CARE BBB-,30-05-11,CARE D,29-01-16,,,,,,,,,,,,,,,,
4677,4677,BLR,Dighi Port Limited,CARE BB+ / CARE BB,03-12-08,CARE BBB-,30-05-11,CARE D,29-01-16,,,,,,,,,,,,,,,,
4678,4678,BLR,Digi Export Venture Private Limited,CARE A4+,23-12-15,,,,,,,,,,,,,,,,,,,,
4679,4679,BLR,Digi Export Venture Private Limited,CARE A4+,23-12-15,,,,,,,,,,,,,,,,,,,,
4680,4680,BLR,Digiflic Controls India Private Limited,CARE A4,15-03-18,,,,,,,,,,,,,,,,,,,,
4681,4681,BLR,Digiflic Controls India Private Limited,CARE BB-,15-03-18,,,,,,,,,,,,,,,,,,,,
4682,4682,BLR,Digiflic Controls India Private Limited,CARE BB-,15-03-18,,,,,,,,,,,,,,,,,,,,
4683,4683,BLR,Digital Circuits Private Limited,CARE BB-,23-11-15,CARE B,12-03-18,,,,,,,,,,,,,,,,,,
4684,4684,BLR,Digital Circuits Private Limited,CARE BB-,23-11-15,CARE B,12-03-18,,,,,,,,,,,,,,,,,,
4685,4685,BLR,Digital Circuits Private Limited,CARE A4,23-11-15,,,,,,,,,,,,,,,,,,,,
4686,4686,BLR,Digital Circuits Private Limited,CARE BB- / CARE A4,23-11-15,CARE B / CARE A4,12-03-18,,,,,,,,,,,,,,,,,,
4687,4687,BLR,Digital Circuits Private Limited,CARE BB- / CARE A4,23-11-15,CARE B / CARE A4,12-03-18,,,,,,,,,,,,,,,,,,
4688,4688,BLR,Digital Factory,CARE B,16-05-17,,,,,,,,,,,,,,,,,,,,
4689,4689,BLR,Digjam Limited,CARE C,26-07-11,CARE D,06-09-12,CARE B,06-09-13,CARE B+,04-08-16,CARE D,18-07-17,,,,,,,,,,,,
4690,4690,BLR,Digjam Limited,CARE A4,26-07-11,CARE D,06-09-12,CARE A4,06-09-13,CARE D,18-07-17,,,,,,,,,,,,,,
4691,4691,BLR,Dignity Buildcon Private Limited,CARE BBB,22-07-15,CARE BBB-,09-03-17,CARE BB+,11-08-17,CARE D,15-11-17,,,,,,,,,,,,,,
4692,4692,BLR,Dignus Infra Private Limited,CARE B+,06-03-17,CARE B+,12-02-18,,,,,,,,,,,,,,,,,,
4693,4693,BLR,Dignus Infra Private Limited,CARE A4,06-03-17,CARE A4,12-02-18,,,,,,,,,,,,,,,,,,
4694,4694,BLR,Diligent Pinkcity Center Private Limited,CARE BB-,19-07-16,,,,,,,,,,,,,,,,,,,,
4695,4695,BLR,Diligent Pinkcity Center Private Limited,CARE A4,19-07-16,,,,,,,,,,,,,,,,,,,,
4696,4696,BLR,Dilip Buildcon Limited,CARE A3,23-10-12,CARE A3+,04-04-14,CARE A2+,10-07-14,CARE A- / CARE A2+,24-02-16,CARE A+ / CARE A1,21-06-17,,,,,,,,,,,,
4697,4697,BLR,Dilip Buildcon Limited,CARE BBB / CARE A3,23-10-12,CARE BBB+ / CARE A3+,04-04-14,CARE A- / CARE A2+,10-07-14,CARE A+ / CARE A1,21-06-17,,,,,,,,,,,,,,
4698,4698,BLR,Dilip Buildcon Limited,CARE BBB,23-10-12,CARE BBB+,04-04-14,CARE A-,10-07-14,CARE A+,21-06-17,,,,,,,,,,,,,,
4699,4699,BLR,Dilip Buildcon Limited,CARE BBB,23-10-12,CARE BBB+,04-04-14,CARE A-,10-07-14,CARE A+,21-06-17,,,,,,,,,,,,,,
4700,4700,BLR,Dimexon Diamonds Limited,CARE A3,29-09-10,CARE BB,24-01-13,CARE BBB-,04-03-14,CARE BBB,27-10-15,,,,,,,,,,,,,,
4701,4701,BLR,Dimple Realtors Private Limited,CARE BB,12-07-17,,,,,,,,,,,,,,,,,,,,
4702,4702,BLR,Dina Iron & Steel Limited,CARE BB-,08-05-15,CARE BB,04-11-15,,,,,,,,,,,,,,,,,,
4703,4703,BLR,Dina Iron & Steel Limited,CARE BB-,31-10-12,CARE BB,04-11-15,,,,,,,,,,,,,,,,,,
4704,4704,BLR,Dina Iron & Steel Limited,CARE BB,04-11-15,,,,,,,,,,,,,,,,,,,,
4705,4705,BLR,Dindayal Industries Limited,CARE B+,23-12-16,CARE B,08-02-18,,,,,,,,,,,,,,,,,,
4706,4706,BLR,Dinesh Engineers Limited,CARE BBB,26-12-17,,,,,,,,,,,,,,,,,,,,
4707,4707,BLR,Dinesh Engineers Limited,CARE BBB,26-12-17,,,,,,,,,,,,,,,,,,,,
4708,4708,BLR,Dinesh Engineers Limited,CARE A3+,26-12-17,,,,,,,,,,,,,,,,,,,,
4709,4709,BLR,Dinesh Engineers Limited,CARE A3+,26-12-17,,,,,,,,,,,,,,,,,,,,
4710,4710,BLR,Dinesh Engineers Limited,CARE BBB / CARE A3+,26-12-17,,,,,,,,,,,,,,,,,,,,
4711,4711,BLR,Dinesh Printers,CARE A4,01-03-18,,,,,,,,,,,,,,,,,,,,
4712,4712,BLR,Dinesh Printers,CARE BB-,01-03-18,,,,,,,,,,,,,,,,,,,,
4713,4713,BLR,Dinesh Printers,CARE BB-,01-03-18,,,,,,,,,,,,,,,,,,,,
4714,4714,BLR,Dipesh Construction Company,CARE BB,20-10-17,,,,,,,,,,,,,,,,,,,,
4715,4715,BLR,Dipesh Construction Company,CARE A4,15-11-17,,,,,,,,,,,,,,,,,,,,
4716,4716,BLR,Dipesh Construction Company,CARE A4,20-10-17,,,,,,,,,,,,,,,,,,,,
4717,4717,BLR,Dish Infra Services Private Limited,CARE A (SO) / CARE A1 (SO),27-10-15,CARE A+ (SO) / CARE A1+ (SO),18-07-16,,,,,,,,,,,,,,,,,,
4718,4718,BLR,Dish Infra Services Private Limited,CARE A (SO) / CARE A1 (SO),27-10-15,CARE A+ (SO) / CARE A1+ (SO),18-07-16,,,,,,,,,,,,,,,,,,
4719,4719,BLR,Dish Infra Services Private Limited,CARE A (SO),27-10-15,CARE A+ (SO) / CARE A1+ (SO),18-07-16,,,,,,,,,,,,,,,,,,
4720,4720,BLR,Dish Infra Services Private Limited,CARE A (SO) / CARE A1 (SO),27-10-15,CARE A+ (SO) / CARE A1+ (SO),18-07-16,,,,,,,,,,,,,,,,,,
4721,4721,LT Instruments,Dish Infra Services Private Limited,CARE A+ (SO) @,14-09-17,,,,,,,,,,,,,,,,,,,,
4722,4722,BLR,Dish Infra Services Private Limited,CARE A (SO),27-10-15,CARE A+ (SO),18-07-16,,,,,,,,,,,,,,,,,,
4723,4723,BLR,Dish Infra Services Private Limited,CARE A (SO),27-10-15,CARE A+ (SO),18-07-16,,,,,,,,,,,,,,,,,,
4724,4724,LT Instruments,Dish Infra Services Private Limited,Provisional CARE A (SO),05-06-15,CARE A+ (SO),18-07-16,,,,,,,,,,,,,,,,,,
4725,4725,BLR,Dish TV India Limited,CARE BBB-,23-05-11,CARE BBB,14-12-11,CARE A-,04-07-14,CARE A,05-06-15,CARE A1,10-07-15,CARE A1+,18-07-16,,,,,,,,,,
4726,4726,BLR,Dishnet Wireless Limited (AIRCEL),CARE A-,28-05-09,CARE BBB+,23-04-12,CARE BBB+(SO),08-01-13,CARE A- (SO),13-07-15,CARE BBB+ (SO) @,07-07-17,CARE BBB- (SO) @,28-08-17,CARE BB+ (SO),11-10-17,CARE D,16-11-17,,,,,,
4727,4727,BLR,Distribution Logistics Infrastructure Private Limited,CARE B-,13-05-13,CARE D,02-04-14,CARE BB,17-04-15,CARE D,10-05-16,,,,,,,,,,,,,,
4728,4728,BLR,Distribution Logistics Infrastructure Private Limited,CARE BB,17-04-15,CARE D,10-05-16,,,,,,,,,,,,,,,,,,
4729,4729,BLR,Distribution Logistics Infrastructure Private Limited,CARE BB,17-04-15,CARE D,10-05-16,,,,,,,,,,,,,,,,,,
4730,4730,BLR,Distribution Logistics Infrastructure Private Limited,CARE A4,13-05-13,CARE D,02-04-14,CARE A4,17-04-15,CARE D,10-05-16,,,,,,,,,,,,,,
4731,4731,BLR,Divine Board Private Limited,CARE B,17-10-16,,,,,,,,,,,,,,,,,,,,
4732,4732,BLR,Divine Board Private Limited,CARE B / CARE A4,17-10-16,,,,,,,,,,,,,,,,,,,,
4733,4733,BLR,Divine Board Private Limited,CARE A4,17-10-16,,,,,,,,,,,,,,,,,,,,
4734,4734,BLR,Divine Chem Food,CARE B+,16-06-16,,,,,,,,,,,,,,,,,,,,
4735,4735,BLR,Divine Chem Food,CARE B+,16-06-16,,,,,,,,,,,,,,,,,,,,
4736,4736,BLR,Divine Mission Educational Trust,CARE B,11-12-17,,,,,,,,,,,,,,,,,,,,
4737,4737,BLR,Divine Mission Educational Trust,CARE B,11-12-17,,,,,,,,,,,,,,,,,,,,
4738,4738,BLR,Divine Solren Private Limited,CARE BBB,12-07-17,,,,,,,,,,,,,,,,,,,,
4739,4739,BLR,Divi's Laboratories Limited,CARE A1+,31-05-11,CARE AA+ / CARE A1+,09-01-13,,,,,,,,,,,,,,,,,,
4740,4740,BLR,Divi's Laboratories Limited,CARE AA+,31-05-11,,,,,,,,,,,,,,,,,,,,
4741,4741,BLR,Divya Agro Roller Flour Mills Private limited,CARE B+,07-04-15,CARE D,09-03-16,,,,,,,,,,,,,,,,,,
4742,4742,BLR,Divya Agro Roller Flour Mills Private limited,CARE B+,07-04-15,CARE D,09-03-16,,,,,,,,,,,,,,,,,,
4743,4743,BLR,Divya Shree Industries,CARE B+,30-09-16,,,,,,,,,,,,,,,,,,,,
4744,4744,BLR,Divya Shree Industries,CARE B+,30-09-16,,,,,,,,,,,,,,,,,,,,
4745,4745,BLR,Divya Shree Industries,CARE B+,15-03-18,,,,,,,,,,,,,,,,,,,,
4746,4746,BLR,Divya Simandhar Construction Private Limited,CARE A3,07-04-17,,,,,,,,,,,,,,,,,,,,
4747,4747,BLR,Divyaratna Agrotech Private Limited,CARE BB-,11-03-13,CARE D,05-02-16,,,,,,,,,,,,,,,,,,
4748,4748,BLR,Divyaratna Agrotech Private Limited,CARE A4,11-03-13,CARE D,05-02-16,,,,,,,,,,,,,,,,,,
4749,4749,BLR,Divyasree NSL Infrastructure Private Limited,CARE BBB+ (SO),11-05-16,CARE A- (SO),08-12-16,,,,,,,,,,,,,,,,,,
4750,4750,LT Instruments,Divyesh Power Private Limited,CARE AA- (SO),22-09-17,,,,,,,,,,,,,,,,,,,,
4751,4751,BLR,Diya Hygiene Flours Private Limited,CARE BB,05-10-17,,,,,,,,,,,,,,,,,,,,
4752,4752,BLR,DJS Printers Private Limited,CARE BB,20-03-18,,,,,,,,,,,,,,,,,,,,
4753,4753,BLR,DJS Printers Private Limited,CARE BB,20-03-18,,,,,,,,,,,,,,,,,,,,
4754,4754,BLR,DJS Printers Private Limited,CARE BB / CARE A4,20-03-18,,,,,,,,,,,,,,,,,,,,
4755,4755,BLR,DKC Projects Private Limited,CARE A4,06-03-18,,,,,,,,,,,,,,,,,,,,
4756,4756,BLR,DKC Projects Private Limited,CARE BB-,06-03-18,,,,,,,,,,,,,,,,,,,,
4757,4757,BLR,DKM Agencies Private Limited,CARE B,06-06-17,,,,,,,,,,,,,,,,,,,,
4758,4758,BLR,DKM Agencies Private Limited,CARE A4,06-06-17,,,,,,,,,,,,,,,,,,,,
4759,4759,BLR,DLS Papers Private Limited,CARE B,09-03-17,,,,,,,,,,,,,,,,,,,,
4760,4760,BLR,DLS Papers Private Limited,CARE B,09-03-17,,,,,,,,,,,,,,,,,,,,
4761,4761,LT Instruments,DMI Finance Private Limited,CARE AA-,14-03-18,,,,,,,,,,,,,,,,,,,,
4762,4762,BLR,DMI Finance Private Limited,CARE BBB+,31-10-12,CARE A,26-08-13,CARE AA-,02-05-17,,,,,,,,,,,,,,,,
4763,4763,BLR,DMI Housing Finance Private Limited,CARE A (SO) (In Principle),08-01-15,CARE AA- (SO),02-05-17,,,,,,,,,,,,,,,,,,
4764,4764,BLR,DMI Housing Finance Private Limited,CARE AA- (SO),16-03-18,,,,,,,,,,,,,,,,,,,,
4765,4765,BLR,DMI Housing Finance Private Limited,Provisional CARE AA- (SO),02-05-17,,,,,,,,,,,,,,,,,,,,
4766,4766,BLR,DMW CNC Solutions India Private Limited,CARE A4,28-06-17,,,,,,,,,,,,,,,,,,,,
4767,4767,BLR,DMW CNC Solutions India Private Limited,CARE A4,28-06-17,,,,,,,,,,,,,,,,,,,,
4768,4768,BLR,DMW CNC Solutions India Private Limited,CARE BB,28-06-17,,,,,,,,,,,,,,,,,,,,
4769,4769,BLR,DMW CNC Solutions India Private Limited,CARE BB,28-06-17,,,,,,,,,,,,,,,,,,,,
4770,4770,BLR,DMW CNC Solutions India Private Limited,CARE BB,28-06-17,,,,,,,,,,,,,,,,,,,,
4771,4771,BLR,DNJ Creation LLP,CARE BBB-,13-03-18,,,,,,,,,,,,,,,,,,,,
4772,4772,BLR,Dodsal Enterprises Private Limited,CARE BBB (SO),19-03-13,,,,,,,,,,,,,,,,,,,,
4773,4773,BLR,Dodsal Enterprises Private Limited,CARE BBB (SO) / CARE A3+ (SO),19-03-13,,,,,,,,,,,,,,,,,,,,
4774,4774,BLR,Dolby Plyboards Private Limited,CARE BB- / CARE A4,02-11-16,,,,,,,,,,,,,,,,,,,,
4775,4775,BLR,Dolce Pharmaceuticals Private Limited,CARE B+,23-01-18,,,,,,,,,,,,,,,,,,,,
4776,4776,BLR,Dolce Pharmaceuticals Private Limited,CARE B+,23-01-18,,,,,,,,,,,,,,,,,,,,
4777,4777,BLR,Dollar Industries Limited,CARE A3+,30-10-14,CARE A2,07-09-15,CARE A1,06-09-17,,,,,,,,,,,,,,,,
4778,4778,BLR,Dollar Industries Limited,CARE A3+,30-10-14,CARE A2,07-09-15,CARE A1,06-09-17,,,,,,,,,,,,,,,,
4779,4779,BLR,Dollar Industries Limited,CARE BBB+,26-11-14,CARE A-,07-09-15,CARE A,06-09-17,,,,,,,,,,,,,,,,
4780,4780,BLR,Dollar Industries Limited,CARE A-,07-09-15,CARE A,06-09-17,,,,,,,,,,,,,,,,,,
4781,4781,BLR,Dollar Industries Limited,CARE BBB+,30-10-14,CARE A-,07-09-15,CARE A,06-09-17,,,,,,,,,,,,,,,,
4782,4782,BLR,Dolphin International Private Limited,CARE A4,29-01-18,,,,,,,,,,,,,,,,,,,,
4783,4783,BLR,Dolphin International Private Limited,CARE A4,29-01-18,,,,,,,,,,,,,,,,,,,,
4784,4784,BLR,Dolvi Coke Projects Limited,CARE BBB+,15-09-15,,,,,,,,,,,,,,,,,,,,
4785,4785,BLR,Doosan Power Systems India Private Limited,CARE AA (SO) (In Principle),23-04-14,Provisional CARE AA- (SO),19-04-16,,,,,,,,,,,,,,,,,,
4786,4786,BLR,Doosan Power Systems India Private Limited,CARE AA- (SO),23-04-14,CARE A+ (SO),19-04-16,,,,,,,,,,,,,,,,,,
4787,4787,BLR,Doosan Power Systems India Private Limited,CARE A1+ (SO),21-04-17,CARE A1 (SO),01-03-18,,,,,,,,,,,,,,,,,,
4788,4788,BLR,Doosan Power Systems India Private Limited,Provisional CARE A1+ (SO),30-10-17,CARE A1 (SO),01-03-18,,,,,,,,,,,,,,,,,,
4789,4789,BLR,Doosan Power Systems India Private Limited,CARE A1+ (SO),23-04-14,CARE A1 (SO),01-03-18,,,,,,,,,,,,,,,,,,
4790,4790,BLR,Doosan Power Systems India Private Limited,CARE A1+ (SO),23-04-14,CARE A1 (SO),01-03-18,,,,,,,,,,,,,,,,,,
4791,4791,BLR,Doosan Power Systems India Private Limited,CARE A1+ (SO),23-04-14,CARE A1 (SO),01-03-18,,,,,,,,,,,,,,,,,,
4792,4792,BLR,Doosan Power Systems India Private Limited,CARE AA- (SO) (In Principle),23-04-14,CARE A+ (SO),19-04-16,CARE A (SO),01-03-18,,,,,,,,,,,,,,,,
4793,4793,BLR,Doosan Power Systems India Private Limited,Provisional CARE A+ (SO),21-04-17,CARE A (SO),01-03-18,,,,,,,,,,,,,,,,,,
4794,4794,BLR,Doosan Power Systems India Private Limited,CARE AA- (SO),21-04-17,CARE A+ (SO),01-03-18,,,,,,,,,,,,,,,,,,
4795,4795,BLR,Doosan Power Systems India Private Limited,CARE AA- (SO),21-04-17,CARE A+ (SO),01-03-18,,,,,,,,,,,,,,,,,,
4796,4796,BLR,Doosan Power Systems India Private Limited,CARE AA (SO),23-04-14,CARE AA- (SO),19-04-16,CARE A+ (SO),01-03-18,,,,,,,,,,,,,,,,
4797,4797,BLR,Doosan Power Systems India Private Limited,CARE AA (SO),21-04-17,CARE AA- (SO),01-03-18,,,,,,,,,,,,,,,,,,
4798,4798,BLR,Doosan Power Systems India Private Limited,CARE AA (SO),21-04-17,CARE AA- (SO),01-03-18,,,,,,,,,,,,,,,,,,
4799,4799,BLR,Doosan Power Systems India Private Limited,Provisional CARE AA- (SO),21-04-17,Provisional CARE A+ (SO),01-03-18,,,,,,,,,,,,,,,,,,
4800,4800,BLR,Doosan Power Systems India Private Limited,Provisional CARE AA- (SO),21-04-17,Provisional CARE A+ (SO),01-03-18,,,,,,,,,,,,,,,,,,
4801,4801,BLR,Doosan Power Systems India Private Limited,CARE AA (SO) / CARE A1+ (SO),20-07-16,CARE AA- (SO) / CARE A1+ (SO),01-03-18,,,,,,,,,,,,,,,,,,
4802,4802,BLR,Doosan Power Systems India Private Limited,CARE AA- (SO) / CARE A1+ (SO),23-04-14,CARE A+ (SO) / CARE A1+ (SO),19-04-16,CARE A (SO) / CARE A1 (SO),01-03-18,,,,,,,,,,,,,,,,
4803,4803,BLR,Doosan Power Systems India Private Limited,CARE AA- (SO) / CARE A1+ (SO),23-04-14,CARE A+ (SO) / CARE A1+ (SO),19-04-16,CARE A (SO) / CARE A1 (SO),01-03-18,,,,,,,,,,,,,,,,
4804,4804,BLR,Dora Trust,CARE BB,08-09-16,,,,,,,,,,,,,,,,,,,,
4805,4805,BLR,Dora Trust,CARE BB,08-09-16,,,,,,,,,,,,,,,,,,,,
4806,4806,BLR,Dosti Realty Limited,CARE BBB+,23-08-16,,,,,,,,,,,,,,,,,,,,
