"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
527,CHADHA PAPERS LIMITED,SMERA B/SMERA A4,07-Apr-15,Suspended,20-Jun-16,-,-,-,-,-,-,-,-
528,CHAITANYA INDIA FIN CREDIT PRIVATE LIMITED,SMERA BB+,18-Jun-15,SMERA BBB-,29-Dec-16,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
529,CHAITANYA SEEDS,SMERA B+,07-May-15,Suspended,01-Jun-16,-,-,-,-,-,-,-,-
530,CHANCHAL INFRASTRUCTURE PRIVATE LIMITED,SMERA D,08-Dec-16,-,-,-,-,-,-,-,-,-,-
531,CHANDAK BROTHERS,SMERA B+,07-Sep-15,Suspended,26-Dec-16,-,-,-,-,-,-,-,-
532,CHANDAN TRADING CORPORATION,SMERA BB,20-Feb-17,-,-,-,-,-,-,-,-,-,-
533,CHANDRA NIRMAN PRIVATE LIMITED,SMERA BB+/SMERA A4+,08-Jan-18,-,-,-,-,-,-,-,-,-,-
534,CHANDRAWATI HOSPITALITY AND TOURISM,SMERA B-,27-Jul-15,Indicative,16-Feb-18,-,-,-,-,-,-,-,-
535,CHANDRESH CABLES LIMITED,SMERA BB/SMERA A4+,05-Feb-14,SMERA BB+/SMERA A4+,07-Jul-15,-,-,-,-,-,-,-,-
536,CHARMS INDIA PRIVATE LIMITED,SMERA B+/SMERA A4,11-Feb-15,Suspended,22-Mar-16,-,-,-,-,-,-,-,-
537,CHARTERED HOUSING PRIVATE LIMITED,SMERA BB-,24-Feb-16,-,-,-,-,-,-,-,-,-,-
538,CHAWLA JEWELLERS,SMERA B+,08-Jun-15,SMERA BB-,04-Dec-15,Indicative,02-Mar-17,-,-,-,-,-,-
539,CHEER SAGAR,SMERA BB+/SMERA A4+,06-Dec-17,-,-,-,-,-,-,-,-,-,-
540,CHEMCON SPECIALITY CHEMICALS PRIVATE LIMITED,SMERA BBB-/SMERA A3,12-May-15,-,-,-,-,-,-,-,-,-,-
541,CHEMIN CONTROLS & INSTRUMENTATION PRIVATE LIMITED,SMERA BB/SMERA A4+,05-May-14,Indicative,12-Dec-17,-,-,-,-,-,-,-,-
542,CHEMTRADE OVERSEAS PRIVATE LIMITED,SMERA BB+/SMERA A4+,02-Jan-18,-,-,-,-,-,-,-,-,-,-
543,CHENNAI HEATREATERS PRIVATE LIMITED,SMERA B+,25-May-15,Suspended,28-Jun-16,-,-,-,-,-,-,-,-
544,CHETAN CABLETRONICS PRIVATE LIMITED,SMERA B-/SMERA A4,17-Jul-15,Withdrawn,13-Jun-16,-,-,-,-,-,-,-,-
545,CHETANA FINANCIAL SERVICES LIMITED,SMERA BB+,20-Feb-18,-,-,-,-,-,-,-,-,-,-
546,CHETAS CONTROL SYSTEMS PRIVATE LIMITED,SMERA BBB+/SMERA A2+,10-Apr-15,Suspended,20-Jun-16,-,-,-,-,-,-,-,-
547,CHHATRAPATI SAMBHAJI RAJE SAKHAR UDYOG LIMITED,SMERA B,08-May-17,-,-,-,-,-,-,-,-,-,-
548,CHIEN HSING TANNERY,SMERA B/SMERA A4,09-Apr-16,Indicative,18-Aug-17,-,-,-,-,-,-,-,-
549,CHINAR STEEL SEGMENT CENTRE PRIVATE LIMITED,SMERA BB,07-Sep-16,Indicative,30-Nov-17,-,-,-,-,-,-,-,-
550,CHINTPURNI SCHOOL,SMERA B+,14-Dec-15,-,-,-,-,-,-,-,-,-,-
551,CHIRAG CONSTRUCTION COMPANY,SMERA B+/SMERA A4,07-Oct-16,-,-,-,-,-,-,-,-,-,-
552,CHIRAG GOEL ENTERPRISES PRIVATE LIMITED,SMERA B-/SMERA A4,21-Mar-14,Suspended,28-Apr-15,-,-,-,-,-,-,-,-
553,CHOCKALINGAPURAM DEVANGAR VARTHAGAR SANGAM,SMERA B+,30-Sep-16,-,-,-,-,-,-,-,-,-,-
554,CHOPRA LAM PRODUCTS PRIVATE LIMITED,SMERA B+/SMERA A4,19-Jul-16,Indicative,26-Sep-17,-,-,-,-,-,-,-,-
555,CHOPRA RETEC RUBBER PRODUCTS LIMITED,SMERA BB+,11-Jan-16,-,-,-,-,-,-,-,-,-,-
556,CHOPRA TRADERS,SMERA BB-/SMERA A4+,28-Jun-17,-,-,-,-,-,-,-,-,-,-
557,CHORDIA INDUSTRIES,SMERA B+,05-Jun-17,-,-,-,-,-,-,-,-,-,-
558,CHOUDHARI CONSTRUCTION COMPANY,SMERA B+/SMERA A4,05-Nov-14,Suspended,05-Feb-16,-,-,-,-,-,-,-,-
559,CHOWEL INDIA PRIVATE LIMITED,SMERA BB-,24-Sep-15,Suspended,23-Nov-16,-,-,-,-,-,-,-,-
560,CHROMAPRINT INDIA PRIVATE LIMITED,SMERA B+/SMERA A4,15-Jan-18,-,-,-,-,-,-,-,-,-,-
561,CIMECHEL ELECTRIC COMPANY,SMERA BBB-/SMERA A3,02-Feb-18,-,-,-,-,-,-,-,-,-,-
562,CIPSATEC INDIA PRIVATE LIMITED,SMERA BBB-/SMERA A3,09-May-17,-,-,-,-,-,-,-,-,-,-
563,CITI CENTER DEVELOPERS,SMERA B+,15-Jun-17,-,-,-,-,-,-,-,-,-,-
564,CITILIGHTS ESTATES PRIVATE LIMITED,SMERA BB-,13-Mar-15,Suspended,27-May-16,-,-,-,-,-,-,-,-
565,CITITECH TOWNSHIP PRIVATE LIMITED,SMERA A4,18-May-17,-,-,-,-,-,-,-,-,-,-
566,CLASS RESTAURANT,SMERA B-,22-Dec-17,-,-,-,-,-,-,-,-,-,-
567,CLASSIC CORRUGATIONS PRIVATE LIMITED,SMERA B+,23-Jan-18,-,-,-,-,-,-,-,-,-,-
568,CLASSIC KNITS INDIA PRIVATE LIMITED,SMERA BB-/SMERA A4,10-Feb-18,-,-,-,-,-,-,-,-,-,-
569,CLASSIC MARBLE COMPANY PRIVATE LIMITED,SMERA BBB/SMERA A3+,02-Dec-15,SMERA BBB+/SMERA A2,08-May-17,-,-,-,-,-,-,-,-
570,CLEAN COAL ENTERPRISES PRIVATE LIMITED,SMERA A/SMERA A1,14-Mar-18,-,-,-,-,-,-,-,-,-,-
571,CLEANTEC INFRA PRIVATE LIMITED,SMERA BB-/SMERA A4,30-Mar-15,Suspended,02-Jun-16,-,-,-,-,-,-,-,-
572,CLH GASEOUS FUEL APPLICATION PRIVATE LIMITED,SMERA B+/SMERA A4,15-Jul-16,Indicative,18-Jul-17,SMERA BB-/SMERA A4+,25-Nov-17,-,-,-,-,-,-
573,CLIFF INDIA CORPORATION,SMERA B/SMERA A4,20-Apr-17,-,-,-,-,-,-,-,-,-,-
574,CM ENVIROSYSTEMS PRIVATE LIMITED,SMERA BB/SMERA A4+,18-Aug-15,SMERA BB-/SMERA A4+,13-Oct-17,-,-,-,-,-,-,-,-
575,CMM INFRAPROJECTS LIMITED,SMERA BBB-/SMERA A3,30-Mar-16,Indicative,22-Aug-17,SMERA BBB/SMERA A3+,22-Mar-18,-,-,-,-,-,-
576,CNC AUTOMOTIVE,SMERA BBB,09-May-17,-,-,-,-,-,-,-,-,-,-
577,C-NET COMMUNICATION INDIA PRIVATE LIMITED,SMERA BB/SMERA A4+,25-May-16,Indicative,12-Sep-17,-,-,-,-,-,-,-,-
578,COASTAL CHIP BOARDS AND LAMS PRIVATE LIMITED,SMERA B+/SMERA A4,12-May-17,-,-,-,-,-,-,-,-,-,-
579,COIMBATORE ANAMALLAIS AGENCIES PRIVATE LIMITED,SMERA BB+,30-May-14,Suspended,28-Oct-16,-,-,-,-,-,-,-,-
580,COMPACT SPINNERS INDIA PRIVATE LIMITED,SMERA BB,12-Dec-17,-,-,-,-,-,-,-,-,-,-
581,COMPETENT CONSTRUCTION COMPANY,SMERA B+/SMERA A4,03-Sep-14,Indicative,09-Mar-18,-,-,-,-,-,-,-,-
582,COMPUTER ENGINEERS,SMERA B+/SMERA A4,21-Jul-17,-,-,-,-,-,-,-,-,-,-
583,CONCEPT CARS LIMITED,SMERA BB/SMERA A4+,22-Jun-17,-,-,-,-,-,-,-,-,-,-
584,CONSOLIDATED PREMIUM RETAILERS,SMERA BB+,23-Nov-15,SMERA BB,18-Feb-17,Indicative,07-Mar-18,-,-,-,-,-,-
585,CONSTRUCTION TECHNIQUE,SMERA BB-/SMERA A4+,10-Jun-17,-,-,-,-,-,-,-,-,-,-
586,CONTINENTAL PILING & EXCAVATION PRIVATE LIMITED,SMERA BB-/SMERA A4+,20-Dec-13,Suspended,20-Mar-15,-,-,-,-,-,-,-,-
587,COOCHBEHAR TEA CO LIMITED,SMERA BB/SMERA A4+,10-Mar-17,-,-,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
588,COOPER GASKET PRIVATE LIMITED,SMERA D,25-Aug-14,Suspended,23-Nov-15,SMERA B-,26-Sep-16,-,-,-,-,-,-
589,CORE MINERALS,SMERA C,31-Aug-16,Indicative,02-Jan-18,-,-,-,-,-,-,-,-
590,CORI ENGINEERS PRIVATE LIMITED,SMERA A-/SMERA A2+,09-May-14,SMERA BBB+/SMERA A2+,16-Jan-18,-,-,-,-,-,-,-,-
591,CORPUS SOFTWARE PRIVATE LIMITED,SMERA A4+,20-Jul-16,-,-,-,-,-,-,-,-,-,-
592,CORUS DECOR PRIVATE LIMITED,SMERA B,06-Dec-13,Suspended,04-Dec-14,SMERA D,12-May-15,SMERA B-,11-Jul-16,Indicative,13-Sep-17,-,-
593,COSA CERAMICS PRIVATE LIMITED,SMERA BBB/SMERA A3+,01-Jul-15,Suspended,31-Aug-16,-,-,-,-,-,-,-,-
594,COSTRA ADVERTISING INDIA PRIVATE LIMITED,SMERA B+/SMERA A4,29-Apr-16,-,-,-,-,-,-,-,-,-,-
595,COZY FURNITEK PRIVATE LIMITED,SMERA B,07-Sep-17,-,-,-,-,-,-,-,-,-,-
596,CRD FOODS PRIVATE LIMITED,SMERA BB-,06-Dec-17,-,-,-,-,-,-,-,-,-,-
597,CREATIVE CLOTHEX,SMERA B/SMERA A4,27-Feb-15,Suspended,29-Apr-16,-,-,-,-,-,-,-,-
598,CRESCENT BUILDERS,SMERA B+,06-Sep-16,Indicative,15-Nov-17,-,-,-,-,-,-,-,-
599,CRESCENT SPA AND RESORT INDORE PRIVATE LIMITED,SMERA BB,08-Aug-16,SMERA BB+,09-Oct-17,-,-,-,-,-,-,-,-
600,CRESCON PROJECTS & SERVICES PRIVATE LIMITED,SMERA B+/SMERA A4,08-Feb-16,SMERA BB-/SMERA A4+,08-Feb-17,-,-,-,-,-,-,-,-
601,CREST COMPOSITES AND PLASTICS PRIVATE LIMITED,SMERA BB+/SMERA A4+,05-Sep-14,SMERA BBB-/SMERA A3,06-Aug-15,-,-,-,-,-,-,-,-
602,CRYSTAL COLD STORAGE COMPANY PRIVATE LIMITED,SMERA C,04-Aug-15,Suspended,28-Jul-16,-,-,-,-,-,-,-,-
603,CRYSTAL ENGINEERS,SMERA BB-/SMERA A4,28-Mar-18,-,-,-,-,-,-,-,-,-,-
604,CRYSTAL QUINONE PRIVATE LIMITED,SMERA BBB-/SMERA A3,13-Sep-17,-,-,-,-,-,-,-,-,-,-
605,CRYSTAL ROADWAYS PRIVATE LIMITED,SMERA D,26-Jul-17,-,-,-,-,-,-,-,-,-,-
606,CRYSTAL THERMOTECH LIMITED,SMERA BB-/SMERA A4+,13-Feb-17,-,-,-,-,-,-,-,-,-,-
607,CURO INDIA PRIVATE LIMITED,SMERA BB,14-Aug-15,Suspended,19-Dec-16,-,-,-,-,-,-,-,-
608,D D INTERNATIONAL INC.,SMERA BB,21-Apr-15,SMERA B+,10-Jun-16,Indicative,17-Oct-17,-,-,-,-,-,-
609,D F F TEXTILES,SMERA BB/SMERA A4+,27-May-15,Suspended,13-Aug-16,SMERA BB/SMERA A4+,22-Dec-16,Indicative,17-Mar-18,-,-,-,-
610,D GEM MOUNT,SMERA BB+,09-Jul-15,-,-,-,-,-,-,-,-,-,-
611,D K BHARAT SIMHA REDDY,SMERA BB/SMERA A4+,12-Aug-17,-,-,-,-,-,-,-,-,-,-
612,D MANOHARAN,SMERA BB-/SMERA A4+,19-Apr-17,-,-,-,-,-,-,-,-,-,-
613,D R COATS INK AND RESINS PRIVATE LIMITED,SMERA BBB-/SMERA A3,28-Mar-18,-,-,-,-,-,-,-,-,-,-
614,D THAKKAR CONSTRUCTIONS PRIVATE LIMITED,SMERA BBB-/SMERA A3,31-Aug-17,-,-,-,-,-,-,-,-,-,-
615,DABWALI AGRO STORAGE,SMERA BBB-,13-Jul-15,Suspended,22-Nov-16,-,-,-,-,-,-,-,-
616,DAFTARI AGRO PRIVATE LIMITED,SMERA BB,31-Jul-17,-,-,-,-,-,-,-,-,-,-
617,DAILY FRESH FRUITS INDIA PRIVATE LIMITED,SMERA B-,06-Jan-14,Suspended,01-Apr-15,-,-,-,-,-,-,-,-
618,DAKSHIN BUDHAKHALI IMPROVEMENT SOCIETY,SMERA BB,17-Mar-18,-,-,-,-,-,-,-,-,-,-
619,DAMAS LAMINATES PRIVATE LIMITED,SMERA B,24-Nov-17,-,-,-,-,-,-,-,-,-,-
620,DAMMAM CASHEW,SMERA BB-,16-Aug-17,-,-,-,-,-,-,-,-,-,-
621,DANASH MAND ORGANIC PRIVATE LIMITED,SMERA BB/SMERA A4+,06-Mar-18,-,-,-,-,-,-,-,-,-,-
622,DANTAL HYDRAULICS PRIVATE LIMITED,SMERA BBB/SMERA A3+,08-Apr-14,Suspended,24-Jul-15,-,-,-,-,-,-,-,-
623,DANYA APPAREL,SMERA B,14-Nov-17,-,-,-,-,-,-,-,-,-,-
624,DARSHAN COTTON INDUSTRIES,SMERA D,06-Jul-15,Indicative,28-Dec-17,-,-,-,-,-,-,-,-
625,DARSHAN PLASTIC,SMERA B+,20-Jul-17,-,-,-,-,-,-,-,-,-,-
626,DARVESH BUSSA REALTORS PRIVATE LIMITED,SMERA B,25-Sep-13,Suspended,26-Sep-14,-,-,-,-,-,-,-,-
627,DARVESH PROPERTIES PRIVATE LIMITED,SMERA B,25-Sep-13,Suspended,26-Sep-14,-,-,-,-,-,-,-,-
628,DATA TECH COMPUTERS PRIVATE LIMITED,SMERA BB/SMERA A4+,04-Mar-15,-,-,-,-,-,-,-,-,-,-
629,DATT MEDI PRODUCTS LIMITED,SMERA BBB-/SMERA A3,02-Feb-15,Indicative,04-Aug-17,-,-,-,-,-,-,-,-
630,DAYANA POLYPLAST PRIVATE LIMITED,SMERA B-,20-Jan-16,Indicative,12-May-17,-,-,-,-,-,-,-,-
631,DECCAN ENGINEERING CONSTRUCTIONS PRIVATE LIMITED,SMERA B+/SMERA A4,03-Jun-16,-,-,-,-,-,-,-,-,-,-
632,DECCAN PLAST INDUSTRIES,SMERA B/SMERA A4,15-Apr-15,SMERA B+/SMERA A4,23-May-16,-,-,-,-,-,-,-,-
633,DECCAN SALES AND SERVICES PRIVATE LIMITED,SMERA BB+/SMERA A4+,28-Mar-18,-,-,-,-,-,-,-,-,-,-
634,DECCAN WATER TREATMENT PRIVATE LIMITED,SMERA B-/SMERA A4,21-May-15,Suspended,30-Jun-16,SMERA B-/SMERA A4,07-Feb-17,Indicative,31-Mar-18,-,-,-,-
635,DECORAZZI PAINTS PRIVATE LIMITED,SMERA B-,02-Mar-17,-,-,-,-,-,-,-,-,-,-
636,DEDHIA BUILDERS & DEVELOPERS INDIA LLP,SMERA B,19-Feb-15,-,-,-,-,-,-,-,-,-,-
637,DEEKAY ELECTRICALS,SMERA BB,06-Apr-15,-,-,-,-,-,-,-,-,-,-
638,DEEM CONSTRUCTION COMPANY PRIVATE LIMITED,SMERA B+/SMERA A4,05-Aug-13,Suspended,25-Jul-14,-,-,-,-,-,-,-,-
639,DEEM ROLL TECH LIMITED,SMERA D,30-Mar-15,-,-,-,-,-,-,-,-,-,-
640,DEEPAK AGRO PRIVATE LIMITED,SMERA B+,28-Dec-15,SMERA BB-,06-Mar-18,-,-,-,-,-,-,-,-
641,DEEPSUN INDUSTRIAL CORPORATION,SMERA BB-/SMERA A4,21-Mar-14,Suspended,07-Jul-15,SMERA BB-/SMERA A4,25-Jul-15,SMERA BB-/SMERA A4+,24-Nov-16,-,-,-,-
642,DEITY FUEL ENERGY PRIVATE LIMITED,SMERA D,12-Dec-13,-,-,-,-,-,-,-,-,-,-
643,DEL TRADE INTERNATIONAL PRIVATE LIMITED,SMERA B+/SMERA A4,21-Jan-15,SMERA BB/SMERA A4+,16-Nov-15,-,-,-,-,-,-,-,-
644,DELIGHT DAIRY LIMITED,SMERA BB+/SMERA A4+,27-Oct-16,Indicative,14-Nov-17,-,-,-,-,-,-,-,-
645,DELLORTO INDIA PRIVATE LIMITED,SMERA B+,14-May-13,Suspended,11-Aug-14,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
646,DEORA WIRES N MACHINES PRIVATE LIMITED,SMERA B-/SMERA A4,29-Mar-16,SMERA D,20-Jun-17,-,-,-,-,-,-,-,-
647,DESAI ELECTRONICS PRIVATE LIMITED,SMERA BBB+,22-Aug-16,Indicative,01-Nov-17,-,-,-,-,-,-,-,-
648,DESHMUKH & CO,SMERA A4+,21-Jan-16,-,-,-,-,-,-,-,-,-,-
649,DEVEER DECOR PRIVATE LIMITED,SMERA B-,16-Apr-15,Suspended,30-Jun-16,-,-,-,-,-,-,-,-
650,DEVI INTERNATIONAL,SMERA BB,16-Mar-18,-,-,-,-,-,-,-,-,-,-
651,DEVISONS INFINITI HOUSEWARE PRIVATE LIMITED,SMERA B,20-Jan-14,Suspended,08-May-15,-,-,-,-,-,-,-,-
652,DEVRISHI FOODS PRIVATE LIMITED,SMERA B/SMERA A4,02-Aug-16,Indicative,15-Nov-17,-,-,-,-,-,-,-,-
653,DEX-VIN POLYMERS PRIVATE LIMITED,SMERA BB-/SMERA A4,06-Feb-15,Suspended,01-Apr-16,-,-,-,-,-,-,-,-
654,DHAIRYA CONSTRUCTION,SMERA BB-,21-Nov-17,-,-,-,-,-,-,-,-,-,-
655,DHANA LAXMI COTTON INDUSTRIES,SMERA B,09-Jan-18,-,-,-,-,-,-,-,-,-,-
656,DHANCOT FIBRES PRIVATE LIMITED,SMERA A4,24-Nov-17,-,-,-,-,-,-,-,-,-,-
657,DHANLAXMI COTEX,SMERA B,27-Dec-17,-,-,-,-,-,-,-,-,-,-
658,DHANPATI AGRO UDYOG PRIVATE LIMITED,SMERA B+,16-Feb-18,-,-,-,-,-,-,-,-,-,-
659,DHANSMRUTI GINNING AND ALLIED INDUSTRIES PRIVATE LIMITE,SMERA B+,21-Mar-18,-,-,-,-,-,-,-,-,-,-
660,DHANSMRUTI TEXTILES PRIVATE LIMTIED,SMERA B+/SMERA A4,23-Mar-18,-,-,-,-,-,-,-,-,-,-
661,DHANTERASH SALES PRIVATE LIMITED,SMERA BB/SMERA A4+,30-Nov-15,Indicative,24-Mar-18,-,-,-,-,-,-,-,-
662,DHAR COAL PRODUCTS PRIVATE LIMITED,SMERA BB/SMERA A4+,07-Sep-17,-,-,-,-,-,-,-,-,-,-
663,DHARA MOTOR FINANCE LIMITED,SMERA BBB-,22-Jan-18,-,-,-,-,-,-,-,-,-,-
664,DHARA SREE GINNING & PRESSING FACTORY,SMERA B+,05-Oct-15,SMERA D,02-Aug-16,-,-,-,-,-,-,-,-
665,DHARNEESH GOLD PRIVATE LIMITED,SMERA BB+/SMERA A4+,27-Jul-15,SMERA D,25-Nov-16,SMERA B+/SMERA A4,14-Feb-18,-,-,-,-,-,-
666,DHARRANEE AND CO,SMERA D,16-Mar-15,SMERA B+,23-Jul-15,Indicative,26-Sep-17,-,-,-,-,-,-
667,DHARRANEE ROOFFING PLANT PRIVATE LIMITED,SMERA D,13-Mar-15,SMERA B+/SMERA A4,23-Jul-15,-,-,-,-,-,-,-,-
668,DHAWAN TRADING COMPANY,SMERA B+,25-Sep-17,-,-,-,-,-,-,-,-,-,-
669,DHEERA RETAIL INFRA PRIVATE LIMITED,SMERA Provisional AA-(SO),16-Sep-17,-,-,-,-,-,-,-,-,-,-
670,DHIMAN INDUSTRIAL FABRICATORS & DESIGNERS,SMERA B/SMERA A4,21-Feb-14,Suspended,05-Jun-15,SMERA BB-/SMERA A4+,23-Mar-17,-,-,-,-,-,-
671,DHIVAKAR SPINNING MILLS PRIVATE LIMITED,SMERA B+/SMERA A4,09-Aug-16,-,-,-,-,-,-,-,-,-,-
672,DHRUV COTFAB PRIVATE LIMITED,SMERA B,20-Sep-16,Indicative,11-Dec-17,-,-,-,-,-,-,-,-
673,DIABU DIAMOND TOOLS (INDIA) PRIVATE LIMITED,SMERA BB/SMERA A4+,07-Dec-16,-,-,-,-,-,-,-,-,-,-
674,DIAM STAR JEWELLERY INDIA PRIVATE LIMITED,SMERA A-/SMERA A2+,20-Jul-15,Withdrawn,03-Oct-16,-,-,-,-,-,-,-,-
675,DIAMOND ENGINEERING CHENNAI PRIVATE LIMITED,SMERA D,23-Mar-16,Indicative,06-Jul-17,-,-,-,-,-,-,-,-
676,DIAMOND SOLVEX PRIVATE LIMITED,SMERA BB-,14-Feb-18,-,-,-,-,-,-,-,-,-,-
677,DIGAMBER CAPFIN LIMITED,SMERA BB+,22-May-15,Suspended,27-Jun-16,-,-,-,-,-,-,-,-
678,DIGI EXPORT VENTURE PRIVATE LIMITED,SMERA A4,26-Aug-13,SMERA A4+,25-Nov-14,Suspended,11-Aug-16,-,-,-,-,-,-
679,DIGITAL SUBSCRIBER MANAGEMENT AND CONSULTANCY SERVIC,SSM PERRIVAA AT+E LIMITED,31-Dec-16,-,-,-,-,-,-,-,-,-,-
680,DIGNUS INFRA PRIVATE LIMITED,SMERA B,17-Mar-15,Indicative,10-Oct-17,-,-,-,-,-,-,-,-
681,DILIP SINGH RAGHUVANSHI,SMERA BB-/SMERA A4+,09-Jun-16,Indicative,15-Sep-17,-,-,-,-,-,-,-,-
682,DILIP TEXTILE PRIVATE LIMITED,SMERA BB/SMERA A4+,11-Jan-16,-,-,-,-,-,-,-,-,-,-
683,DINESH BROTHERS PRIVATE LIMITED,SMERA BB+/SMERA A4+,04-Aug-17,-,-,-,-,-,-,-,-,-,-
684,DINESH KUMAR SHARMA,SMERA B/SMERA A4,28-Dec-17,-,-,-,-,-,-,-,-,-,-
685,DINESH PRINTERS,SMERA B+/SMERA A4,03-Mar-15,Suspended,06-May-16,SMERA B+/SMERA A4,19-Oct-16,Indicative,12-Jan-18,-,-,-,-
686,DINESH TEXTILE MILLS,SMERA BB-/SMERA A4+,16-Mar-16,-,-,-,-,-,-,-,-,-,-
687,DION GLOBAL SOLUTIONS LIMITED,SMERA BB-/SMERA A4,31-Jul-17,-,-,-,-,-,-,-,-,-,-
688,DISHA ENTERPRISES,SMERA B/SMERA A4,13-Apr-15,Suspended,30-Jun-16,-,-,-,-,-,-,-,-
689,DISTI CHEMI PROCESS ENGINEERING PRIVATE LIMITED,SMERA B-/SMERA A4,18-Jun-15,Suspended,17-Aug-16,-,-,-,-,-,-,-,-
690,DIVI ENTERPRISES,SMERA BB-/SMERA A4,10-Apr-17,-,-,-,-,-,-,-,-,-,-
691,DIVINE SOLUTIONS PRIVATE LIMITED,SMERA BB-/SMERA A4+,07-Jun-17,-,-,-,-,-,-,-,-,-,-
692,DIVY ROLLFORM LIMITED,SMERA B/SMERA A4,01-Feb-17,-,-,-,-,-,-,-,-,-,-
693,DIVYA CORPORATION,SMERA BB-,09-Aug-16,Indicative,28-Nov-17,-,-,-,-,-,-,-,-
694,DIVYA GLOBAL PRIVATE LIMITED,SMERA A4,05-Dec-13,Suspended,08-Dec-14,-,-,-,-,-,-,-,-
695,DNA AGROTECH PRIVATE LIMITED,SMERA B/SMERA A4,26-May-15,-,-,-,-,-,-,-,-,-,-
696,DNYANYOGI SHRI SHIVAKUMAR SWAMIJI SUGARS LIMITED,SMERA B-/SMERA A4,21-Jun-16,Indicative,15-Sep-17,-,-,-,-,-,-,-,-
697,DOCTOR PACK INDIA PRIVATE LIMITED,SMERA BB-/SMERA A4+,14-Apr-16,SMERA C/SMERA A4,12-Oct-17,-,-,-,-,-,-,-,-
698,DOLPHIN DEVELOPERS,SMERA B+,28-Nov-17,-,-,-,-,-,-,-,-,-,-
699,DOLPHIN INTERNATIONAL PRIVATE LIMITED,SMERA A4,20-Jan-15,Suspended,30-Mar-16,-,-,-,-,-,-,-,-
700,DOLPHIN SCAFFOLDING PRIVATE LIMITED,SMERA B-,12-Dec-13,Suspended,27-Mar-15,-,-,-,-,-,-,-,-
701,DOONVALLEY TECHNOPOLIS PRIVATE LIMITED,SMERA D,21-Jul-14,Indicative,09-Mar-18,-,-,-,-,-,-,-,-
702,DOWN TOWN HANDLOOM PRIVATE LIMITED,SMERA B-,05-Aug-14,Suspended,03-Nov-15,-,-,-,-,-,-,-,-
703,DPD INDUSTRIES LIMITED,SMERA BBB-,01-Feb-13,Suspended,28-Mar-14,-,-,-,-,-,-,-,-
704,DR SENGALIAPPAN NURSING HOME,SMERA B+,21-Oct-14,Suspended,30-Dec-15,-,-,-,-,-,-,-,-
705,DR. M HOPE HOSPITAL PRIVATE LIMITED,SMERA B-,09-Nov-15,Indicative,15-Feb-17,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
706,DREAMZ INFRASTRUCTURE,SMERA B+,23-Jan-17,SMERA BB,07-Mar-18,-,-,-,-,-,-,-,-
707,DRISHTI APPARELS,SMERA A4,21-Oct-14,Suspended,13-Jan-16,-,-,-,-,-,-,-,-
708,DRIVESTREAM INDIA PRIVATE LIMITED,SMERA BB,29-Mar-17,-,-,-,-,-,-,-,-,-,-
709,DSR SONS INDIA ENGINEERS PRIVATE LIMITED,SMERA BB-/SMERA A4+,11-Sep-17,-,-,-,-,-,-,-,-,-,-
710,DTL ANCILLARIES LIMITED,SMERA BBB/SMERA A2,01-Feb-13,SMERA D,31-Mar-14,Suspended,09-Jul-15,-,-,-,-,-,-
711,DUGAR FINANCE AND INVESTMENTS LIMITED,SMERA BB-,20-Aug-14,SMERA BB,18-Dec-15,SMERA BB+,12-Feb-18,-,-,-,-,-,-
712,DULICHAND INDUSTRIES,SMERA B+/SMERA A4,05-Oct-16,Indicative,02-Jan-18,-,-,-,-,-,-,-,-
713,DUNCANS TEA LIMITED,SMERA BB+,18-Feb-16,-,-,-,-,-,-,-,-,-,-
714,DUPON RUBBER PRIVATE LIMITED,SMERA D,26-Aug-17,-,-,-,-,-,-,-,-,-,-
715,DURAIRAJ MILLS LIMITED,SMERA D,16-Mar-15,-,-,-,-,-,-,-,-,-,-
716,DURGA BUILDERS,SMERA BB+,23-May-17,-,-,-,-,-,-,-,-,-,-
717,DURGA CONSTRUCTION COMPANY,SMERA BB+/SMERA A4+,09-Oct-17,-,-,-,-,-,-,-,-,-,-
718,DURGAMBA MOTORS,SMERA B,06-Aug-15,SMERA B+,28-Dec-17,-,-,-,-,-,-,-,-
