"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
41,ABC GARMENTS,SMERA BB-/SMERA A4+,12-Oct-15,SMERA D,26-Dec-16,Indicative,20-Mar-18,-,-,-,-,-,-
42,ABHAY SOLVENTS PRIVATE LIMITED,SMERA BB,19-Aug-16,-,-,-,-,-,-,-,-,-,-
43,ABHIKALP CONSTRUCTIONS SYNDICATE,SMERA B+,17-Mar-18,-,-,-,-,-,-,-,-,-,-
44,ABHILASHA ENTERPRISES,SMERA BB+/SMERA A4+,17-Aug-15,Suspended,09-Nov-16,-,-,-,-,-,-,-,-
45,ABHILASHA JEWELLERS PRIVATE LIMITED,SMERA BBB+,16-Jul-15,SMERA BBB,21-Oct-16,-,-,-,-,-,-,-,-
46,ABHINAASH AGROFOOD INDUSTRIES PRIVATE LIMITED,SMERA B,12-Jan-15,Suspended,27-Feb-16,-,-,-,-,-,-,-,-
47,ABHISHEK MILLENNIUM CONTRACTS PRIVATE LIMITED,SMERA A4+,02-Jul-15,Suspended,30-Sep-16,-,-,-,-,-,-,-,-
48,ABHUSHAN ORNAMENTS PRIVATE LIMITED,SMERA BB-,28-Nov-14,Indicative,06-Apr-17,-,-,-,-,-,-,-,-
49,ABIRAMI TIMBER DEPOT,SMERA B/SMERA A4,11-Nov-16,Indicative,12-Jan-18,-,-,-,-,-,-,-,-
50,ACCENT INDUSTRIES LIMITED,SMERA BB-/SMERA A4+,02-Feb-17,Indicative,15-Mar-18,-,-,-,-,-,-,-,-
51,ACCRETE PHARMACEUTICALS PRIVATE LIMITED,SMERA D,23-Jul-15,Suspended,26-Oct-16,-,-,-,-,-,-,-,-
52,ACCURATE FABOX PRIVATE LIMITED,SMERA B/SMERA A4,14-Dec-15,-,-,-,-,-,-,-,-,-,-
53,ACCUTIME LOGISTICS PRIVATE LIMITED,SMERA B+,20-Jun-16,Indicative,25-Sep-17,-,-,-,-,-,-,-,-
54,ACE CORPORATION,SMERA B/SMERA A4,04-Sep-17,-,-,-,-,-,-,-,-,-,-
55,ACESO PHARMA,SMERA B,23-Mar-18,-,-,-,-,-,-,-,-,-,-
56,ACHIEVE IMPEX,SMERA A4,29-Sep-15,Indicative,09-Mar-17,-,-,-,-,-,-,-,-
