Sl. No.,Name of the Issuer,Initial Rating,"Date of InitialRating",Rating after 1st revision,Date of 1st revision,"Rating after2nd revision","Date of 2ndrevision","Rating after3rd revision","Date of 3rdrevision","Rating after4th revision","Date of 4threvision","Rating after5th revision","Date of 5threvision","Rating after6th revision","Date of 6threvision","Rating after7th revision","Date of 7threvision","Rating after8th revision",Date of 8th revision,"Rating after9th revision","Date of 9threvision","Rating after10th revision","Date of 10threvision","Rating after11th revision","Date of 11threvision","Rating after12th revision","Date of 12threvision","Rating after13th revision","Date of 13threvision","Rating after14th revision",Date of 14th revision,"Rating after15th revision","Date of 15threvision","Rating after16th revision","Date of 16threvision","Rating after17th revision","Date of 17threvision","Rating after18th revision",Date of 18th revision,"Rating after19th revision","Date of 19threvision","Rating after20th revision","Date of 20threvision","Rating after21st revision",Date of 21st revision,"Rating after22nd revision","Date of 22ndrevision","Ratings Outstandingas on 31-March-2018","Rating Date Outstanding ason 31-March-2018"
1,3B Infrastructure Pvt. Ltd,BWR BB,28-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB,28-Jun-17
2,A I Cotton Industries,BWR B +,12-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B +,12-Jul-17
3,A K Infraprojects Pvt. Ltd,BWR B+,06-Oct-16,BWR B +,08-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B +,08-Dec-17
4,A K Infraprojects Pvt. Ltd,BWR A4,06-Oct-16,BWR A4,08-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,08-Dec-17
5,A K Soni Hosiery Mills Pvt. Ltd,BWR D,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR D,31-Mar-17
6,A K Stockmart Pvt. Ltd,BWR A,10-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A,10-Oct-17
7,A L Overseas,BWR B+,31-Dec-12,BWR BB,27-Feb-14,BWR BB,04-Jun-15,NOT REVIEWED,30-Dec-16,BWR BB -,28-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB -,28-Feb-18
8,A S Wire Industries (VSP) Pvt. Ltd.,BWR B,29-Apr-14,BWR B+,13-Jan-16,BWR B+,22-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B+,22-Feb-17
9,A Surti Developers Pvt. Ltd,BWR BB-,30-Nov-16,BWR BB -,09-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB -,09-Feb-18
10,A -Tex Home Collection,BWR B+,28-Oct-15,BWR B+,22-Nov-16,BWR B +,19-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B +,19-Jan-18
11,A -Tex Home Collection,BWR A4,28-Oct-15,BWR A4,22-Nov-16,BWR A4,19-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,19-Jan-18
12,A. N. Enterprise,BWR BB-,08-Sep-14,NOT REVIEWED,28-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,28-Dec-16
13,A. N. Enterprise,BWR A4,08-Sep-14,NOT REVIEWED,28-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,28-Dec-16
14,A.K. Power Industries Private Limited,BWR BBB-,18-Feb-13,BWR BBB,25-Apr-14,NOT REVIEWED,14-Aug-15,BWR D,20-Apr-16,BWR D,04-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR D,04-Sep-17
15,A.K. Power Industries Private Limited,BWR A3,18-Feb-13,BWR A3,25-Apr-14,NOT REVIEWED,14-Aug-15,BWR D,20-Apr-16,BWR D,04-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR D,04-Sep-17
16,A.M. Exports,BWR A4+,05-Nov-12,BWR A4+,14-Mar-14,BWR A4+,01-Sep-15,BWR A4+,25-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4+,25-Jan-17
17,A.S. Enterprise,BWR A4+,15-Mar-13,BWR A4+,27-Aug-14,BWR A4+,14-Dec-15,BWR A4+,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4+,31-Mar-17
18,A.V. Cam Corporation,BWR B,11-Jun-14,NOT REVIEWED,23-Dec-16,BWR B -,14-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B -,14-Mar-18
19,A.V. Cam Corporation,BWR A4,11-Jun-14,NOT REVIEWED,23-Dec-16,BWR A4,14-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,14-Mar-18
20,A2Z Autowheels Pvt Ltd,BWR BB,20-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB,20-Jul-17
21,AAA Paper Marketing Ltd.,BWR B-,16-Dec-14,BWR B,03-Jun-15,BWR BB-,12-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB-,12-Jul-16
22,AAA Paper Marketing Ltd.,BWR A4,16-Dec-14,BWR A4,03-Jun-15,BWR A4,12-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,12-Jul-16
23,Aadarsh Private Limited,BWR BB-,26-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB-,26-Sep-17
24,Aadarsh Private Limited,BWR A4,26-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,26-Sep-17
25,Aadhan Builders LLP,BWR BB+,03-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB+,03-Nov-17
26,Aadhar Industries,BWR B +,07-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B +,07-Nov-17
27,Aadishwar Global Corp,BWR B+,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B+,31-Mar-17
28,Aadishwar Global Corp,BWR A4,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,31-Mar-17
29,Aakash Agrotech Pvt. Ltd.,BWR B-,03-Dec-13,NOT REVIEWED,12-Oct-16,BWR B -,30-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B -,30-Oct-17
30,Aakash Oil Field Services Private Limited,BWR BB,13-Jan-14,BWR BB,05-Aug-15,NOT REVIEWED,03-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,03-Jan-17
31,Aakash Oil Field Services Private Limited,BWR A4,13-Jan-14,BWR A4,05-Aug-15,NOT REVIEWED,03-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,03-Jan-17
32,Aakash Polyfilms Ltd,BWR BB,10-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB,10-Oct-17
33,Aakash Polyfilms Ltd,BWR A4,10-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,10-Oct-17
34,Aakash Universal Ltd,BWR BB+,08-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB+,08-Mar-17
35,Aakash Universal Ltd,BWR A4+,08-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4+,08-Mar-17
36,Aakriti Sugar Mills Pvt. Ltd. (erstwhile Ma Bhagwati Sugar Mill,BWR B,03-Nov-14,BWR B,12-Feb-16,NOT REVIEWED,07-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,07-Jun-17
37,Aanandam Jewellers,BWR BB-,25-Sep-14,NOT REVIEWED,07-Dec-16,BWR B +,28-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B +,28-Feb-18
38,Aanchal Ispat Ltd.,BWR BB,16-Jun-15,BWR BB+,25-Oct-16,BWR BB +,29-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB +,29-Nov-17
39,Aanchal Ispat Ltd.,BWR A4+,16-Jun-15,BWR A4+,25-Oct-16,BWR A4 +,29-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4 +,29-Nov-17
40,Aanjaneya Lifecare Ltd.,BWR BBB+,05-Nov-12,BWR BBB+,16-Jan-13,BWR D,23-Aug-13,NOT REVIEWED,17-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,17-Jan-17
41,AAP Infrastructure Ltd.,BWR BBB,04-Nov-14,BWR BBB,29-Sep-16,BWR D,30-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR D,30-Jun-17
42,Aar Dee Extrusions (India ) Pvt. Ltd.,BWR B,10-Oct-14,NOT REVIEWED,14-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,14-Jun-17
43,AAR Royal Residency Pvt Ltd,BWR C-,04-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR C-,04-Nov-16
44,Aarvee Denims and Exports Ltd.,BWR A-,18-Aug-15,BWR A-,30-Nov-16,BWR A -,08-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A -,08-Mar-18
45,Aarvee Denims and Exports Ltd.,BWR A2+,18-Aug-15,BWR A2+,30-Nov-16,BWR A2 +,08-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A2 +,08-Mar-18
46,Aarkee Extrusion Pvt Ltd,BWR B+,22-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B+,22-Mar-17
47,Aarkee Extrusion Pvt Ltd,BWR A4,22-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,22-Mar-17
48,Aarna Foods Pvt Ltd,BWR BB -,20-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB -,20-Mar-18
49,Aarshadhaatu Green Nanotechnologies India Pvt. Ltd.,BWR BB,09-Jul-15,NOT REVIEWED,17-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,17-Jan-17
50,Aarti Traders,BWR B,04-Jul-13,BWR B+,12-Jun-15,NOT REVIEWED,30-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,30-Dec-16
51,Aarya Organic Foods & Ayurvedic Industries Pvt. Ltd.,BWR BB,24-Jun-13,Rating Suspended,24-Nov-14,BWR BB+,24-Nov-14,NOT REVIEWED,14-Sep-16,BWR BB,07-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB,07-Dec-17
52,AASAN Corporate Solutions Private Limited,BWR A - (SO),09-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A - (SO),09-Feb-18
53,Aasharya Hotels & Estates Pvt. Ltd.,BWR BB,21-Jul-15,BWR BB,27-Oct-16,BWR BB,23-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB,23-Jan-18
54,Aasharya Hotels & Estates Pvt. Ltd.,BWR A4,21-Jul-15,BWR A4,27-Oct-16,BWR A4,23-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,23-Jan-18
55,Aashiana Rolling Mills Ltd,BWR BBB -,06-Sep-17,BWR BBB -,23-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BBB -,23-Mar-18
56,Aashiana Rolling Mills Ltd,BWR A3,06-Sep-17,BWR A3,23-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A3,23-Mar-18
57,Aashka Hospitals Pvt Ltd.,BWR B,28-Jan-14,NOT REVIEWED,16-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,16-Feb-17
58,Aatreyee Nirman Pvt. Ltd.,BWR BB,23-Aug-13,BWR BB-,19-Dec-16,NOT REVIEWED,19-Dec-16,BWR B +,08-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B +,08-Jan-18
59,Aavishkar Online Lottery Agency Pvt Ltd,BWR B +,23-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B +,23-Nov-17
60,AB Chem (India),BWR BB+,13-Dec-12,Rating Suspended,12-Mar-14,BWR BBB-,16-Oct-14,BWR BBB,18-Dec-15,BWR BBB,10-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BBB,10-Mar-17
61,AB Chem (India),BWR A4+,13-Dec-12,Rating Suspended,12-Mar-14,BWR A3,16-Oct-14,BWR A3+,18-Dec-15,BWR A3+,10-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A3+,10-Mar-17
62,AB Chemicals India Pvt. Ltd.,BWR A4,16-Mar-15,BWR A4,14-Apr-16,BWR A4+,14-Mar-17,BWR A3,05-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A3,05-Feb-18
63,AB Chemicals India Pvt. Ltd.,BWR BB-,16-Mar-15,BWR BB,14-Apr-16,BWR BB+,14-Mar-17,BWR BBB -,05-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BBB -,05-Feb-18
64,AB Cotspin India Ltd.,BWR BB,13-Mar-15,BWR BB,06-Jan-16,BWR BB+,03-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB+,03-Mar-17
65,AB Cotspin India Ltd.,BWR A4+,03-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4+,03-Mar-17
66,AB Crops Pvt. Ltd.,BWR B+,16-Mar-15,BWR B+,07-Mar-16,BWR B+,14-Mar-17,BWR BB -,24-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB -,24-Nov-17
67,AB Crops Pvt. Ltd.,BWR A4,16-Mar-15,BWR A4,07-Mar-16,BWR A4,14-Mar-17,BWR A4,24-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,24-Nov-17
68,AB Global Trade Pvt. Ltd.,BWR BB+,05-Dec-14,BWR BB+,05-Jan-16,BWR BBB-,13-Dec-16,NOT REVIEWED,06-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,06-Mar-18
69,AB Global Trade Pvt. Ltd.,BWR A4+,05-Dec-14,BWR A4+,05-Jan-16,BWR A3,13-Dec-16,NOT REVIEWED,06-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,06-Mar-18
70,AB Grain Spirits Pvt Ltd,BWR BB,14-Feb-17,BWR BB +,21-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB +,21-Feb-18
71,AB Grain Spirits Pvt Ltd,BWR A4+,14-Feb-17,BWR A4 +,21-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4 +,21-Feb-18
72,AB Infra Investments Pvt. Ltd.,BWR A4,13-Mar-15,BWR A4,28-Apr-16,BWR A4,14-Mar-17,BWR A4,28-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,28-Nov-17
73,AB Infra Investments Pvt. Ltd.,BWR BB-,13-Mar-15,BWR BB,28-Apr-16,BWR BB,14-Mar-17,BWR BB,28-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB,28-Nov-17
74,AB Refer Warehousing Pvt. Ltd.,BWR BB,01-Jul-13,BWR BB,04-Nov-14,NOT REVIEWED,27-Dec-16,BWR BB -,28-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB -,28-Feb-18
75,AB World Trade Pvt. Ltd.,BWR A4,27-Mar-15,BWR A4,07-Mar-16,BWR A4,28-Mar-17,BWR A4,29-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,29-Nov-17
76,AB World Trade Pvt. Ltd.,BWR B+,27-Mar-15,BWR B+,07-Mar-16,BWR BB-,28-Mar-17,BWR BB -,29-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB -,29-Nov-17
77,Aban Holdings Pte Ltd,BWR D,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR D,31-Jan-17
78,ABans Finance Private Limited,BWR BB +,13-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB +,13-Jul-17
79,ABCI Infrastructures Pvt. Ltd.,BWR A2+,20-Sep-16,BWR A2 +,11-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A2 +,11-Oct-17
80,ABCI Infrastructures Pvt. Ltd.,BWR A-/BWR A2+,20-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A-/BWR A2+,20-Sep-16
81,ABCI Infrastructures Pvt. Ltd.,BWR A-,20-Sep-16,BWR A -,11-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A -,11-Oct-17
82,Abdul Kalam Azad,BWR A4,19-Apr-17,BWR A4,15-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,15-Mar-18
83,Abdul Kalam Azad,BWR B+,25-Jan-16,BWR BB-,19-Apr-17,BWR BB -,15-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB -,15-Mar-18
84,Abellon CleanEnergy Ltd.,BWR BB,18-Jul-16,BWR BBB -,25-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BBB -,25-Sep-17
85,Abellon Energy Ltd.,BWR BB,03-Nov-15,BWR BB,01-Dec-16,BWR BB,18-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB,18-Jan-18
86,Abhijit Realtors and Infraventures Pvt. Ltd.,BWR B-,27-Oct-15,NOT REVIEWED,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,31-Mar-17
87,Abhimaani Publications Ltd.,BWR BB-,30-Sep-15,NOT REVIEWED,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,31-Dec-16
88,Abhimaani Publications Ltd.,BWR A4,30-Sep-15,NOT REVIEWED,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,31-Dec-16
89,Abhinandan Exports Limited,BWR B,07-Aug-14,NOT REVIEWED,07-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,07-Feb-17
90,Abhinandan Exports Limited,BWR A4,07-Aug-14,NOT REVIEWED,07-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,07-Feb-17
91,Abhinandan Motors Pvt. Ltd.,BWR A4,04-Nov-15,NOT REVIEWED,22-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,22-Feb-17
92,Abhinandan Motors Pvt. Ltd.,BWR BB-,04-Nov-15,NOT REVIEWED,22-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,22-Feb-17
93,Abhiraj Engicon Pvt. Ltd.,BWR B+,09-Sep-14,NOT REVIEWED,31-Mar-17,BWR B,09-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B,09-Mar-18
94,Abhiraj Engicon Pvt. Ltd.,BWR A4,09-Sep-14,NOT REVIEWED,31-Mar-17,BWR A4,09-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,09-Mar-18
95,Abhirama Steels Limited,BWR BB+,03-Sep-14,NOT REVIEWED,30-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,30-Dec-16
96,Abika Hotels,BWR B,23-Dec-16,BWR B -,23-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B -,23-Mar-18
97,Abil Chempharma Pvt. Ltd.,BWR BBB-,04-Nov-15,BWR BBB,18-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BBB,18-May-17
98,Abil Chempharma Pvt. Ltd.,BWR A3,04-Nov-15,BWR A3,18-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A3,18-May-17
99,Abinav Ginning Mill,BWR B,14-Sep-16,BWR B -,08-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B -,08-Mar-18
100,Abiramee Timber Company,BWR B+,13-Oct-15,NOT REVIEWED,28-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,28-Mar-17
101,Abiramee Timber Company,BWR A4,13-Oct-15,NOT REVIEWED,28-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,28-Mar-17
102,Abirami Engineering Construction & Co.,BWR B,12-Feb-15,BWR B+,09-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B+,09-Nov-16
103,Abirami Engineering Construction & Co.,BWR A4,12-Feb-15,BWR A4,09-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,09-Nov-16
104,Abok Spring Pvt Ltd,BWR BB +,06-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB +,06-Jul-17
105,Abok Spring Pvt Ltd,BWR A4,06-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A4,06-Jul-17
106,ABS Aircon Engineer Pvt. Ltd,BWR B-,18-Mar-14,BWR B,20-Feb-15,BWR B+,21-Apr-16,NOT REVIEWED,27-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,27-Jul-17
107,ABS Aircon Engineer Pvt. Ltd,BWR A4,18-Mar-14,BWR A4,20-Feb-15,BWR A4,21-Apr-16,NOT REVIEWED,27-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,27-Jul-17
108,ABS India Pvt. Ltd.,BWR BBB,11-Jul-13,BWR BBB,20-Aug-14,BWR BBB,02-Sep-15,BWR BBB-,17-Aug-16,BWR BBB -,20-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BBB -,20-Sep-17
109,ABS India Pvt. Ltd.,BWR A3,11-Jul-13,BWR A3,20-Aug-14,BWR A3,02-Sep-15,BWR A3,17-Aug-16,BWR A3,20-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A3,20-Sep-17
110,ABSS Institute of Technology (Kastoori Devi Foundation),BWR B+,22-Nov-13,BWR B+,02-Dec-15,NOT REVIEWED,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,31-Mar-17
111,Academy for Technical & Management Excellence (ATME),BWR BB,06-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB,06-Feb-17
112,Academy Of Higher Education,BWR BB-,19-Jan-16,NOT REVIEWED,10-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,10-May-17
113,Acara Bioherb Pvt. Ltd.,BWR A4+,04-Dec-15,NOT REVIEWED,18-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,18-Apr-17
114,Accelarating Education and Development Pvt. Ltd,BWR A- (SO),18-Jan-17,BWR A - (SO),14-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR A - (SO),14-Feb-18
115,Accent Microcell Private Limited,BWR BB-,31-Dec-13,NOT REVIEWED,03-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,03-Jul-15
116,Accent Microcell Private Limited,BWR A4,31-Dec-13,NOT REVIEWED,03-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT REVIEWED,03-Jul-15
117,ACCIL Auto Steel Private Limited.,BWR BB+,27-Mar-14,BWR BB+,12-Jan-16,BWR D,01-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR D,01-Sep-17
118,ACCIL Auto Steel Private Limited.,BWR A4+,12-Jan-16,BWR D,01-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR D,01-Sep-17
119,ACCIL Corporation Private Limited,BWR B -,30-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR B -,30-Jan-18
120,Accord Mediplus Pvt Ltd,BWR BB -,07-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BB -,07-Jul-17
121,Accurate Polymers Pvt. Ltd.,BWR BBB-,24-May-13,BWR BBB-,31-Dec-14,BWR BBB-,18-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWR BBB-,18-Jan-16
