Count,Sl.No.,Name of the Issuer,Initial Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
33,33,AARTI SPONGE POWER LIMITED,SMERA BBB-/SMERA A3,24-Mar-18,,,,,,,,,,
34,34,AARTI STEELS LIMITED,SMERA A-/SMERA A2+,05-May-16,Indicative,02-Aug-17,,,,,,,,
35,35,AARTI SUITINGS PRIVATE LIMITED,SMERA BB-/SMERA A4+,20-Apr-17,,,,,,,,,,
36,36,AARTI TRADERS,SMERA B+,16-May-17,,,,,,,,,,
37,37,AARYA EXIM,SMERA A4,22-Mar-17,,,,,,,,,,
38,38,AARYAN HITECH STEELS INDIA PRIVATE LIMITED,SMERA B,12-Feb-15,Suspended,03-May-16,,,,,,,,
39,39,AASHIYANA PROMOTERS AND DEVELOPERS PRIVATE LIMITED,SMERA B,03-Jun-14,SMERA D,09-Feb-17,,,,,,,,
40,40,AAVKAR DRUGS PRIVATE LIMITED,SMERA B,29-Mar-18,,,,,,,,,,
41,41,ABC GARMENTS,SMERA BB-/SMERA A4+,12-Oct-15,SMERA D,26-Dec-16,Indicative,20-Mar-18,,,,,,
42,42,ABHAY SOLVENTS PRIVATE LIMITED,SMERA BB,19-Aug-16,,,,,,,,,,
43,43,ABHIKALP CONSTRUCTIONS SYNDICATE,SMERA B+,17-Mar-18,,,,,,,,,,
44,44,ABHILASHA ENTERPRISES,SMERA BB+/SMERA A4+,17-Aug-15,Suspended,09-Nov-16,,,,,,,,
45,45,ABHILASHA JEWELLERS PRIVATE LIMITED,SMERA BBB+,16-Jul-15,SMERA BBB,21-Oct-16,,,,,,,,
46,46,ABHINAASH AGROFOOD INDUSTRIES PRIVATE LIMITED,SMERA B,12-Jan-15,Suspended,27-Feb-16,,,,,,,,
47,47,ABHISHEK MILLENNIUM CONTRACTS PRIVATE LIMITED,SMERA A4+,02-Jul-15,Suspended,30-Sep-16,,,,,,,,
48,48,ABHUSHAN ORNAMENTS PRIVATE LIMITED,SMERA BB-,28-Nov-14,Indicative,06-Apr-17,,,,,,,,
49,49,ABIRAMI TIMBER DEPOT,SMERA B/SMERA A4,11-Nov-16,Indicative,12-Jan-18,,,,,,,,
50,50,ACCENT INDUSTRIES LIMITED,SMERA BB-/SMERA A4+,02-Feb-17,Indicative,15-Mar-18,,,,,,,,
51,51,ACCRETE PHARMACEUTICALS PRIVATE LIMITED,SMERA D,23-Jul-15,Suspended,26-Oct-16,,,,,,,,
52,52,ACCURATE FABOX PRIVATE LIMITED,SMERA B/SMERA A4,14-Dec-15,,,,,,,,,,
53,53,ACCUTIME LOGISTICS PRIVATE LIMITED,SMERA B+,20-Jun-16,Indicative,25-Sep-17,,,,,,,,
54,54,ACE CORPORATION,SMERA B/SMERA A4,04-Sep-17,,,,,,,,,,
55,55,ACESO PHARMA,SMERA B,23-Mar-18,,,,,,,,,,
56,56,ACHIEVE IMPEX,SMERA A4,29-Sep-15,Indicative,09-Mar-17,,,,,,,,
57,57,ACORE INDUSTRIES PRIVATE LIMITED,SMERA B,12-Apr-16,Indicative,08-Jul-17,,,,,,,,
58,58,ACTION UDHYOG PRIVATE LIMITED,SMERA B+,02-Sep-14,Suspended,07-Dec-15,,,,,,,,
59,59,ADANI ENTERPRISES LIMITED,SMERA A1+,06-Jun-17,,,,,,,,,,
60,60,ADANI PHARMACHEM PRIVATE LIMITED,SMERA BB+/SMERA A4+,08-May-15,,,,,,,,,,
61,61,ADARSH FOOD PRODUCTS PRIVATE LIMITED,SMERA B+,11-Sep-14,Suspended,11-Dec-15,,,,,,,,
62,62,ADESHWAR MEDITEX PRIVATE LIMITED,SMERA BB-/SMERA A4+,04-Jan-17,,,,,,,,,,
63,63,ADINATH INDUSTRIES,SMERA BB/SMERA A4+,27-Oct-15,Indicative,08-Feb-17,,,,,,,,
64,64,ADITYA ALUMINIUM,SMERA B/SMERA A4,17-Sep-14,Suspended,26-Dec-15,,,,,,,,
65,65,ADITYA AUTO INDUSTRIES,SMERA BB+,21-Feb-18,,,,,,,,,,
66,66,ADITYA CARS PRIVATE LIMITED,SMERA B+/SMERA A4,11-Jun-14,Suspended,23-Nov-16,,,,,,,,
67,67,ADITYA TRANSLINK PRIVATE LIMITED,SMERA BBB-/SMERA A3,19-Jan-17,,,,,,,,,,
68,68,ADITYA ULTRA STEEL PRIVATE LIMITED,SMERA BB-/SMERA A4+,27-Jul-17,Withdrawn,12-Mar-18,,,,,,,,
69,69,ADSYNDICATE SERVICES PRIVATE LIMITED,SMERA BB+,18-Oct-16,SMERA BBB-,18-Dec-17,,,,,,,,
70,70,ADURA FOUNDATION,SMERA B+/SMERA A4,12-Jan-17,Indicative,08-Jan-18,,,,,,,,
71,71,ADVAITA HOMES,SMERA B,11-Aug-15,Indicative,16-Jan-18,,,,,,,,
72,72,ADVANCE STEEL AND TUBE MILLS,SMERA B-/SMERA A4,18-Nov-16,SMERA B+/SMERA A4,21-Feb-18,,,,,,,,
73,73,ADVEN TYRE TUBE INDIA PRIVATE LIMITED,SMERA B+/SMERA A4,01-Jun-15,Suspended,28-Jul-16,,,,,,,,
74,74,ADVENT HEALTH CARE & HI-TECH PRODUCTS,SMERA B/SMERA A4,05-Jun-15,Suspended,10-Sep-16,,,,,,,,
75,75,AEON FORMULATIONS PRIVATE LIMITED,SMERA BB,21-Mar-18,,,,,,,,,,
76,76,AEROTHERM PRODUCTS,SMERA B+/SMERA A4,27-Apr-17,,,,,,,,,,
77,77,AESTHETIC STAMPINGS AND LAMINATIONS LIMITED,SMERA BB-/SMERA A4+,26-Jul-17,,,,,,,,,,
78,78,AGARWAL PACKERS & MOVERS LIMITED,SMERA BBB-/SMERA A3,28-Aug-14,Suspended,11-Sep-15,,,,,,,,
79,79,AGARWAL TMT INDUSTRIES PRIVATE LIMITED,SMERA B/SMERA A4,16-Sep-14,SMERA B+/SMERA A4,01-Dec-15,Indicative,07-Mar-18,,,,,,
80,80,AGGARWAL FIBERS PRIVATE LIMITED,SMERA BB-,12-Feb-18,,,,,,,,,,
81,81,AGGARWAL HOSPITAL & RESEARCH SERVICES PRIVATE LIMITED,SMERA B+,21-May-14,Suspended,11-Sep-15,SMERA BB,04-Feb-16,Indicative,31-Mar-17,,,,
82,82,AGILE SECURITY FORCE PRIVATE LIMITED,SMERA BBB/SMERA A3+,13-Apr-15,Indicative,15-Nov-17,,,,,,,,
83,83,AGRAWAL ASSOCIATES,SMERA B+,13-Dec-17,,,,,,,,,,
84,84,AGRAWAL METAL WORKS PRIVATE LIMITED,SMERA A-/SMERA A2+,04-Oct-13,SMERA A/SMERA A1,28-Feb-18,,,,,,,,
85,85,AGROFLEX REINFORCE INC,SMERA B-/SMERA A4,04-Mar-15,Indicative,31-Aug-17,,,,,,,,
86,86,AHINSA INFRASTRUCTURE AND DEVELOPERS LIMITED,SMERA B,04-Jun-15,Indicative,15-Sep-17,,,,,,,,
87,87,AHMEDABAD STRIPS PRIVATE LIMITED,SMERA BBB/SMERA A3+,29-Feb-16,SMERA BBB+/SMERA A2,14-Mar-18,,,,,,,,
88,88,AICO FOODS LIMITED,SMERA B+/SMERA A4,21-Mar-18,,,,,,,,,,
89,89,AIKYA CHEMICALS PRIVATE LIMITED,SMERA B-/SMERA A4,03-Jun-14,Suspended,07-Sep-15,,,,,,,,
90,90,AIR CONTROL AND CHEMICAL ENGINEERING COMPANY LIMITED,SMERA B+/SMERA A4,30-Dec-15,Indicative,26-Mar-18,,,,,,,,
91,91,AIR TRANSPORT CORPORATION(ASSAM) PRIVATE LIMITED,SMERA BB/SMERA A4+,04-May-15,Suspended,29-Jun-16,,,,,,,,
92,92,AISHWARYA REGENCY,SMERA D,02-Jul-13,Suspended,28-Dec-15,,,,,,,,
93,93,AJANTHA WOOD SUPPLIERS,SMERA B+,02-Feb-15,Suspended,02-May-16,,,,,,,,
94,94,AJAY INDIA LIMITED,SMERA BB-,29-Mar-18,,,,,,,,,,
95,95,AJAY TRADING COMPANY,SMERA BB/SMERA A4+,02-Apr-15,,,,,,,,,,
96,96,AJIT AGRO INDUSTRIES,SMERA B+,26-Feb-16,Indicative,18-Oct-17,,,,,,,,
97,97,AJMERA METALS INDORE PRIVATE LIMITED,SMERA B/SMERA A4,09-Jan-18,,,,,,,,,,
98,98,AKAL SPRING LIMITED,SMERA B+,28-Nov-16,Indicative,06-Mar-18,,,,,,,,
99,99,AKASH COKE INDUSTRIES PRIVATE LIMITED,SMERA BB-/SMERA A4,17-Nov-15,,,,,,,,,,
100,100,AKCROS POLYMERS PRIVATE LIMITED,SMERA BB,28-Dec-17,,,,,,,,,,
101,101,AKME FINCON LIMITED,SMERA BB+,14-Sep-16,Indicative,16-Jan-18,,,,,,,,
102,102,AKME FINTRADE (INDIA) LIMITED,SMERA BBB+,13-Mar-18,,,,,,,,,,
103,103,AKME FINTRADE (INDIA) LIMITED,SMERA FA,13-Mar-18,,,,,,,,,,
104,104,AKME STAR HOUSING FINANCE LIMITED,SMERA BB+,14-Sep-16,Indicative,11-Dec-17,SMERA BBB-,13-Mar-18,,,,,,
105,105,AKSHARA ENTERPRISES PRIVATE LIMITED,SMERA BB/SMERA A4+,15-Dec-17,,,,,,,,,,
106,106,AKSHAY KHANDELWAL TUBES & ISPAT PRIVATE LIMITED,SMERA BB,29-Sep-16,Indicative,30-Nov-17,,,,,,,,
107,107,AKSHERA PAPERS,SMERA B+/SMERA A4,06-Jan-14,SMERA BB/SMERA A4+,09-Dec-16,SMERA BB+/SMERA A4+,23-Nov-17,,,,,,
108,108,ALAKNANDA PRINTERS PRIVATE LIMITED,SMERA BB-,24-Jun-15,SMERA B,05-Jul-16,Indicative,15-Nov-17,,,,,,
109,109,ALAM TANNERY PRIVATE LIMITED,SMERA B/SMERA A4,22-Aug-17,,,,,,,,,,
110,110,ALAND CERAMIC PRIVATE LIMITED,SMERA BB-/SMERA A4+,28-Mar-18,,,,,,,,,,
111,111,ALCOB INDIA PRIVATE LIMITED,SMERA BB-/SMERA A4+,29-Aug-13,SMERA BB/SMERA A4+,18-Aug-15,SMERA BB-/SMERA A4,21-Nov-16,Indicative,10-Feb-18,,,,
112,112,ALEKHYA DRUGS PRIVATE LIMITED,SMERA B/SMERA A4,15-Nov-16,Indicative,13-Feb-18,,,,,,,,
113,113,ALEX ASTRAL POWER PRIVATE LIMITED,SMERA A-,17-Jan-18,,,,,,,,,,
114,114,ALFA TEXTILES,SMERA BB-,09-Feb-17,,,,,,,,,,
115,115,ALIGARH ROLLER FLOUR MILLS PRIVATE LIMITED,SMERA B,01-Apr-16,Indicative,14-Jul-17,,,,,,,,
116,116,ALLIANCE PETROLEUMS PRIVATE LIMITED,SMERA B-,01-Jul-14,Suspended,28-Sep-15,SMERA B-,08-Oct-16,Indicative,15-Dec-17,,,,
117,117,ALLIED ENGINEERING WORKS PRIVATE LIMITED,SMERA B+  /SMERA A4,01-Aug-13,SMERA BB-/SMERA A4,21-Oct-14,Suspended,22-Jan-16,SMERA B+/SMERA A4,09-Aug-16,,,,
118,118,ALMED LABORATORIES PRIVATE LIMITED,SMERA BB-,01-Mar-16,Indicative,03-Apr-17,,,,,,,,
119,119,ALOM EXTRUSIONS LIMITED,SMERA BB/SMERA A4+,11-Sep-17,,,,,,,,,,
120,120,ALOM POLY EXTRUSIONS LIMITED,SMERA B,15-Jul-16,Indicative,24-Oct-17,,,,,,,,
121,121,ALPHA PRINT MANAGEMENT SOLUTIONS,SMERA B,08-Dec-17,,,,,,,,,,
122,122,ALPHAVECTOR INDIA PRIVATE LIMITED,SMERA B/SMERA A4,11-Feb-16,Indicative,10-May-17,SMERA B+/SMERA A4,24-Nov-17,,,,,,
123,123,ALPINE DISTILLERIES PRIVATE LIMITED,SMERA BB/SMERA A4+,30-Dec-15,Indicative,09-Mar-17,,,,,,,,
124,124,ALPINE REALTECH PRIVATE LIMITED,SMERA D,07-Jan-15,,,,,,,,,,
125,125,AL-SAFA INDUSTRIES PRIVATE LIMITED,SMERA B+,02-Aug-16,Indicative,26-Sep-17,,,,,,,,
126,126,ALTRA PHARMA CHEM PRIVATE LIMITED,SMERA B+/SMERA A4,23-Jan-18,,,,,,,,,,
127,127,ALTRA PURE CHEM,SMERA B+/SMERA A4,22-Jan-18,,,,,,,,,,
128,128,ALUMIL BUILDMATE PRIVATE LIMITED,SMERA B/SMERA A4,20-Feb-18,,,,,,,,,,
129,129,ALUMILITE ARCHITECTURALS PRIVATE LIMITED,SMERA B/SMERA A4,11-Dec-17,,,,,,,,,,
130,130,AMAN EXPORTS,SMERA A4,24-Jan-14,SMERA B+/SMERA A4,01-Apr-15,SMERA BB-/SMERA A4+,24-Jun-16,,,,,,
131,131,AMAR BIO TECH LIMITED,SMERA B,01-Feb-17,,,,,,,,,,
132,132,AMAR MEDICAL STORE,SMERA B+,22-Jul-14,Suspended,14-Oct-15,,,,,,,,
133,133,"AMAR ROLLER FLOUR MILLS (A UNIT OF AMAR ALLOYS PRIVATELIMITED)",SMERA B,05-Sep-14,Suspended,11-Dec-15,,,,,,,,
134,134,AMARDEEP ISPAT PRIVATE LIMITED,SMERA B+,01-Jul-15,Withdrawn,13-Sep-16,,,,,,,,
135,135,AMBALA COACH BUILDERS,SMERA BB-/SMERA A4+,03-Nov-17,,,,,,,,,,
136,136,AMBANI ORGANICS PRIVATE LIMITED,SMERA B+/SMERA A4,29-May-17,,,,,,,,,,
137,137,AMBE AGRO FOODS LIMITED,SMERA BB-,25-Nov-13,Suspended,30-Apr-16,,,,,,,,
138,138,AMBICA CHEMICALS,SMERA B+,02-May-17,,,,,,,,,,
139,139,AMBICA GOLD,SMERA B-,09-May-14,Suspended,10-Aug-15,,,,,,,,
140,140,AMBICA IRON & STEEL PRIVATE LIMITED,SMERA B+,06-Apr-16,Indicative,23-Sep-17,,,,,,,,
141,141,AMBICA SPINTEX PRIVATE LIMITED,SMERA D,30-May-17,SMERA B-/SMERA A4,22-Sep-17,,,,,,,,
142,142,AMBIKA OVERSEAS,SMERA BB-/SMERA A4+,14-Dec-16,Indicative,20-Feb-18,SMERA BB-/SMERA A4+,28-Mar-18,,,,,,
143,143,AMBIKA TIMBER DEPOT,SMERA B/SMERA A4,05-Jun-14,Indicative,14-Mar-18,,,,,,,,
144,144,AMBIKA WOODS PRIVATE LIMITED,SMERA D,11-Dec-13,Suspended,16-Feb-15,,,,,,,,
145,145,AMBIT SWITCHGEAR PRIVATE LIMITED,SMERA BB+/SMERA A4+,04-Apr-16,Indicative,20-Jul-17,,,,,,,,
146,146,AMBO EXPORTS INDUSTRIES LIMITED,SMERA B-/SMERA A4,05-Feb-16,SMERA D,24-Mar-17,,,,,,,,
147,147,AMIDEEP AUTOMOBILES,SMERA BB-,24-Apr-17,,,,,,,,,,
148,148,AMIR CHAND JAGDISH KUMAR (EXPORTS) LIMITED,SMERA BBB/SMERA A3+,12-Jul-16,Indicative,27-Sep-17,,,,,,,,
149,149,AMIT IRON PRIVATE LIMITED,SMERA BB-,28-Dec-17,,,,,,,,,,
150,150,AMIT N SHAH,SMERA BB/SMERA A4+,24-Feb-18,,,,,,,,,,
151,151,AMMA CASHEW FACTORY,SMERA B+,03-Aug-15,Suspended,05-Dec-16,,,,,,,,
152,152,AMMA CONSTRUCTION INDIA PRIVATE LIMITED,SMERA B+/SMERA A4,23-Jan-18,,,,,,,,,,
153,153,AMMEN MILLS,SMERA D,09-Mar-17,,,,,,,,,,
154,154,AMOL ENTERPRISES,SMERA B+,16-Dec-16,,,,,,,,,,
155,155,AMPLE TEXTECH PRIVATE LIMITED,SMERA B/SMERA A4,28-Jan-17,,,,,,,,,,
156,156,AMR SUMANGALEE JEWELLERRS,SMERA B+,16-Jul-14,,,,,,,,,,
157,157,AMRI HOSPITALS LIMITED,SMERA A-(SO),17-Jan-18,,,,,,,,,,
158,158,AMRIT CEMENT LIMITED,SMERA C/SMERA A4,11-May-15,SMERA D,10-Sep-16,,,,,,,,
159,159,AMRIT CEMENT LIMITED,SMERA C,05-Dec-17,,,,,,,,,,
160,160,AMRITSAR RICE LAND,SMERA B,29-Sep-14,Suspended,24-Dec-15,,,,,,,,
161,161,AMRUT CONSTRUCTION,SMERA BB-/SMERA A4,28-Feb-18,,,,,,,,,,
162,162,AMULYA SEA FOODS,SMERA BB+/SMERA A4+,24-Aug-15,SMERA BB/SMERA A4+,14-Mar-17,,,,,,,,
163,163,AMZ PACKAGING PRIVATE LIMITED,SMERA B-/SMERA A4,04-Sep-15,Indicative,02-Feb-18,,,,,,,,
164,164,AMZEN MACHINES PRIVATE LIMITED,SMERA BB/SMERA A4+,24-Mar-15,Suspended,31-May-16,,,,,,,,
165,165,ANAND EDUCATION SOCIETY,SMERA C,03-Nov-14,Suspended,29-Jan-16,,,,,,,,
166,166,ANAND TRANSFORMERS PRIVATE LIMITED,SMERA BB-/SMERA A4+,28-Dec-16,,,,,,,,,,
167,167,ANANDA SAW MILLS,SMERA B/SMERA A4,11-Dec-13,Suspended,16-Feb-15,,,,,,,,
168,168,ANANDALOK HOSPITAL,SMERA B+/SMERA A4,22-Sep-17,,,,,,,,,,
169,169,ANANDCINE SERVICES PRIVATE LIMITED,SMERA A3,27-Dec-17,Withdrawn,28-Feb-18,SMERA A2(SO),07-Mar-18,,,,,,
170,170,ANANDI MARKETING,SMERA B+,23-Mar-18,,,,,,,,,,
171,171,ANANDSONS OVERSEAS TRADING PRIVATE LIMITED,SMERA A4,10-Aug-15,,,,,,,,,,
172,172,ANANT RAJ LIMITED,SMERA BBB+,05-Mar-18,,,,,,,,,,
173,173,ANANTHA BIOTECHNOLOGIES AND ALLIED PRIVATE LIMITED,SMERA B,29-Jul-15,Suspended,19-Oct-16,,,,,,,,
174,174,ANIL STEEL WORKS,SMERA D,29-Sep-17,,,,,,,,,,
175,175,ANILA SEED PROCESSING INDUSTRIES,SMERA B,28-Sep-16,,,,,,,,,,
176,176,ANITA EXPORTS,SMERA B-/SMERA A4,05-Feb-16,,,,,,,,,,
177,177,ANJANAMURTHY,SMERA B-,01-Dec-16,Indicative,13-Dec-17,,,,,,,,
178,178,ANJANEYA BREEDING FARM AND HATCHERIES,SMERA B+,11-Sep-17,,,,,,,,,,
179,179,ANJANI INFRA,SMERA B+,26-Dec-14,SMERA BB-,21-Jan-16,Withdrawn,03-Mar-17,,,,,,
180,180,ANKUR CHEMFOOD LIMITED,SMERA BB/SMERA A4+,30-Sep-14,Suspended,16-Dec-15,,,,,,,,
181,181,ANMOL FLUID CONTROL PRODUCTS PRIVATE LIMITED,SMERA BB+/SMERA A4+,12-Jan-18,,,,,,,,,,
182,182,ANNAI APPLIANCES MANUFACTURING PRIVATE LIMITED,SMERA D,10-Apr-15,Indicative,28-Sep-17,,,,,,,,
183,183,ANNAI ARUL HEALTHCARE PRIVATE LIMITED,SMERA BB-/SMERA A4,05-Jan-17,Indicative,23-Mar-18,,,,,,,,
184,184,ANNAM STEELS,SMERA B,11-Sep-15,SMERA D,10-Dec-16,Indicative,28-Feb-18,,,,,,
185,185,ANNAPURNA AGRO PRODUCTS,SMERA B,27-Nov-15,,,,,,,,,,
186,186,ANNAPURNA TRADERS,SMERA B-/SMERA A4,27-Apr-16,Indicative,31-Aug-17,,,,,,,,
187,187,ANOFOL FAR EAST ANODIZING PRIVATE LIMITED,SMERA B/SMERA A4,31-Dec-13,SMERA D,13-Mar-15,SMERA B-/SMERA A4,25-Jun-15,Suspended,20-Sep-16,,,,
188,188,ANOJ KUMAR AGARWALA,SMERA BB+/SMERA A4+,24-Feb-17,,,,,,,,,,
189,189,ANS CONSTRUCTIONS PRIVATE LIMITED,SMERA BB/SMERA A4+,02-Jul-15,SMERA B/SMERA A4,06-Oct-16,SMERA B+/SMERA A4,31-Aug-17,,,,,,
190,190,ANUKOOL INDIA PRIVATE LIMITED,SMERA BB/SMERA A4+,29-Mar-17,,,,,,,,,,
191,191,ANUPAM NIRMAN PRIVATE LIMITED,SMERA BB/SMERA A4+,23-Jan-15,Suspended,08-Mar-16,,,,,,,,
192,192,ANUPAMA FEEDS & FARMS,SMERA BB+,15-Jan-15,SMERA BB+/SMERA A4+,03-May-16,Indicative,16-Jan-18,,,,,,
193,193,A-ONE STEEL & ALLOYS PRIVATE LIMITED,SMERA B,10-Nov-14,Suspended,24-Feb-16,,,,,,,,
194,194,APACE BUILDERS AND CONTRACTORS PRIVATE LIMITED,SMERA B+,26-Jul-16,Indicative,15-Nov-17,,,,,,,,
195,195,APEX AGENCY,SMERA B-/SMERA A4,21-May-14,SMERA B+/SMERA A4,10-Jul-15,Suspended,17-Nov-16,,,,,,
196,196,APEX ECOTECH PRIVATE LIMITED,SMERA BB-/SMERA A4+,08-Mar-18,,,,,,,,,,
197,197,APICORE PHARMACEUTICALS PRIVATE LIMITED,SMERA BB-/SMERA A4+,02-Apr-15,Suspended,27-May-16,,,,,,,,
198,198,APKON CRUSHERS,SMERA B+,05-Apr-17,,,,,,,,,,
199,199,APL CROP SCIENCE PRIVATE LIMITED,SMERA B,31-Mar-17,,,,,,,,,,
200,200,APLAB LIMITED,SMERA D,24-Aug-16,Indicative,31-Oct-17,,,,,,,,
201,201,APLS AUTOMOTIVE INDUSTRIES PRIVATE LIMITED,SMERA B/SMERA A4,30-Jan-14,Suspended,04-Jun-15,,,,,,,,
202,202,APOLLO ENTERPRISES,SMERA D,01-Aug-14,Suspended,31-Oct-15,,,,,,,,
203,203,APOORVA IT SOLUTIONS PRIVATE LIMITED,SMERA BB/SMERA A4+,21-Dec-16,,,,,,,,,,
204,204,APURVI INDUSTRIES,SMERA BB-/SMERA A4,30-Nov-16,Indicative,19-Feb-18,,,,,,,,
205,205,AQUA MATRIX SYSTEM PRIVATE LIMITED,SMERA B+/SMERA A4,27-Aug-15,Suspended,09-Nov-16,,,,,,,,
206,206,ARADHANA DISTRIBUTORS PRIVATE LIMITED,SMERA B-,18-Jul-16,Indicative,23-Sep-17,,,,,,,,
207,207,ARADHYA AGRO INDUSTRIES,SMERA B,16-Sep-16,SMERA B+,13-Dec-17,,,,,,,,
208,208,ARASU AUTOS (THANJAVUR),SMERA B+/SMERA A4,21-Jun-16,,,,,,,,,,
209,209,ARASU AUTOS (THIRUVARUR),SMERA B/SMERA A4,21-Jun-16,,,,,,,,,,
210,210,ARASU JEWELS,SMERA B,03-Jun-16,,,,,,,,,,
211,211,ARAVALI PRINTERS & PUBLISHERS PRIVATE LIMITED,SMERA B+/SMERA A4,29-Apr-15,Suspended,20-Jun-16,,,,,,,,
212,212,ARCADIA REALTY PRIVATE LIMITED,SMERA B/SMERA A4,14-Aug-15,Suspended,24-Oct-16,,,,,,,,
213,213,ARCEDGES BUILDING INDIA LLP,SMERA B-,25-Apr-17,,,,,,,,,,
214,214,ARCHANA MOTORS PRIVATE LIMITED,SMERA B,11-Jul-14,SMERA B-,16-Nov-15,Indicative,16-Feb-17,,,,,,
215,215,ARCHISHA EDUCATIONAL TRUST,SMERA BB+,22-Aug-16,Indicative,15-Nov-17,,,,,,,,
216,216,ARCL ORGANICS LIMITED,SMERA B-/SMERA A4,17-Feb-15,SMERA B/SMERA A4,08-Apr-17,,,,,,,,
217,217,ARDHINUSA DRILLING PRIVATE LIMITED,SMERA B+/SMERA A4,11-Apr-17,,,,,,,,,,
218,218,ARIES COLORCHEM PRIVATE LIMITED,SMERA BBB-/SMERA A3,27-Mar-14,SMERA BBB/SMERA A3+,22-Jul-14,SMERA BBB+/SMERA A2,29-Jan-18,,,,,,
219,219,ARIES DYE CHEM INDUSTRIES,SMERA BBB/SMERA A3+,12-Nov-13,Withdrawn,02-Feb-18,,,,,,,,
220,220,ARIES FOODS & FRUITS,SMERA A4,15-Jan-15,Suspended,13-Apr-16,,,,,,,,
221,221,ARIES ORGANICS PRIVATE LIMITED,SMERA BBB/SMERA A3+,12-Nov-13,Withdrawn,02-Feb-18,,,,,,,,
