Company Name,Industry,Instrument,Outlook,Rating
Elemecs Multi-Speciality Hospital And Research Centre Private Limited,Health Care Providers & Services,Proposed Working Capital Facility,Stable,CRISIL B+
Elgi Equipments Limited,Machinery,Cash Credit Limit,Stable,CRISIL AA
Elgi Ultra Industries Limited,Household Durables,Working Capital Loan (LT),Stable,CRISIL BBB+
Elica Vitrified Private Limited,Building Products,Cash Credit Limit,Stable,CRISIL BB-
Elico Limited,Electronic Equipment Instruments & Components,Cash Credit Limit,Stable,CRISIL BB-
Elite Agro Specialities,Household Products,Long Term Bank Loan,Positive,CRISIL BBB
Elite Automobiles Private Limited,Specialty Retail,Cash Credit Limit,Stable,CRISIL B
Elite Breads Private Limited,Food Products,Cash Credit Limit,Positive,CRISIL BBB
Elite Foods Private Limited,Food Products,Term Loan Facilities,Positive,CRISIL BBB
Elite Green Pvt Ltd,Distributors,Foreign Bill Discounting Limit,Positive,CRISIL BBB
Elite Mission Hospital,Health Care Providers & Services,Long Term Bank Loan,Stable,CRISIL BB+
Elite Natural Private Limited,Household Products,Stand by Line of Credit,Positive,CRISIL BBB
Elite Shelters,Real Estate Development,Proposed Long-Term Bank Facility,Stable,CRISIL B
Elite Vehicles Private Limited,Specialty Retail,Term Loan Facilities,Stable,CRISIL B
Elixir Metform Private Limited,Construction & Engineering,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Elkay Chemicals Private Limited,Chemicals,Cash Credit Limit,Stable,CRISIL BB
Elkay Telelinks Limited,Electrical Equipment,Cash Credit Limit,Stable,CRISIL BBB-
Elkaypee Spinners Private Limited,Engineering & Capital Goods,Long Term Bank Loan,Stable,CRISIL BB+
Elkosta Security Systems India,Commercial Services & Supplies,Cash Credit Limit,Stable,CRISIL B
Ellenbarrie Tea And Industries Limited,Food Products,Long Term Bank Loan,Stable,CRISIL B+
Elmeasure India Private Limited,Electrical Equipment,Cash Credit Limit,Stable,CRISIL B
Elmech Power AND Air Conditioning Engineers Private Limited,Construction & Engineering,Proposed Fund-Based Bank Limits,Stable,CRISIL B+
Elnova Pharma,Pharmaceuticals,Cash Credit Limit,Stable,CRISIL BBB-
Elppe Chemicals Private Limited,Pharmaceuticals,Proposed Long-Term Bank Facility,Stable,CRISIL BBB-
Elpro International Limited,Real Estate Development,Proposed Long-Term Bank Facility,Stable,CRISIL BB+
Elroy Motors Private Limited,Specialty Retail,Cash Credit Limit,Stable,CRISIL BB
Elson Packaging Industries Private Limited,Containers & Packaging,Cash Credit Limit,Stable,CRISIL BB
Elta Tools AND Dies,Auto Components,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Eltech Appliances Private Limited,Household Durables,Proposed Long-Term Bank Facility,Stable,CRISIL BBB-
Elve Corporation,Auto Components,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Emaar Diamonds Private Limited,Distributors,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Emami Cement Limited,Construction Materials,Proposed Working Capital Facility,Positive,CRISIL BBB
Emami Limited,Personal Products,Non Convertible Debenture,Stable,CRISIL AA+
Emark Energisers Private Limited,Electrical Equipment,Term Loan Facilities,Stable,CRISIL BB-
Embiotic Laboratories Private Limited,Pharmaceuticals,Cash Credit Limit,Stable,CRISIL B+
Emboss Education LLP,Real Estate Development,Rupee Term Loans,Stable,CRISIL B
Emboza Granito Private Limited,Building Products,Term Loan Facilities,Stable,CRISIL B+
Emco Exports,Engineering & Capital Goods,Foreign Bill Discounting Limit,Stable,CRISIL BB
Emco Pressmaster Private Limited,Machinery,Cash Credit Limit,Stable,CRISIL B
Emco Tech Equipments Private Limited,Distributors,Proposed Cash Credit Limit,Stable,CRISIL B+
Emerald Industries,Construction Materials,Cash Credit Limit,Stable,CRISIL BB-
Emerging Infrastructure,Construction & Engineering,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Emerging Projects Private Limited,Health Care Providers & Services,Cash Credit Limit,Stable,CRISIL BB
Emery Tie-Up Private Limited,Hotels Restaurants & Leisure,Proposed Long-Term Bank Facility,Stable,CRISIL B
Emil Pharmaceutical Industries Private Limited,Pharmaceuticals,Export Packing Credit,Stable,CRISIL BBB-
Emil Traders Private Limited,Distributors,Foreign Bill Discounting Limit,Negative,CRISIL BB+
Eminent Jewel Arcade Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BB+
Eminent Trade AND Export Private Limited,Metals & Mining,Proposed Long-Term Bank Facility,Stable,CRISIL B
Emkay Taps and Cutting Tools Limited,Machinery,Term Loan Facilities,Stable,CRISIL BBB+
Emmbros AutoComp Limited,Auto Components,Term Loan Facilities,Negative,CRISIL BBB-
Emmbros Automotives Private Limited.,Auto Components,Term Loan Facilities,Stable,CRISIL BB
Emmtex Synthetics Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BB+
Empire Meadows Private Limited,Real Estate Development,Long Term Bank Loan,Stable,CRISIL B+
Empire Silk Wvg Industries,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BB+
Empire Spices And Foods Limited,Food Products,Term Loan Facilities,Stable,CRISIL BBB-
Employees Welfare Fund,Co-operative Society,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Empowertrans Private Limited,Construction & Engineering,Proposed Cash Credit Limit,Stable,CRISIL BB
Emson Gears Limited,Auto Components,Proposed Cash Credit Limit,Stable,CRISIL B+
Enal Drugs Private Limited,Pharmaceuticals,Cash Credit Limit,Stable,CRISIL BB
Enayat Overseas,Engineering & Capital Goods,Term Loan Facilities,Stable,CRISIL BBB-
Encee Aromatics Private Limited,Chemicals,Cash Credit Limit,Stable,CRISIL BBB-
Encon Fabricators Private Limited,Machinery,Cash Credit Limit,Stable,CRISIL BB-
Encon Impex Private Limited,Specialty Retail,Cash Credit Limit,Stable,CRISIL BB
Encorp Powertrans Private Limited,Machinery,Cash Credit Limit,Stable,CRISIL B
Endoc Lifecare Private Limited,Pharmaceuticals,Cash Credit Limit,Stable,CRISIL BB
Endurance Technologies Limited,Auto Components,Long Term Bank Loan,Stable,CRISIL AA
Energized Solutions India Private Limited,Independent Power Producers & Energy Traders,Term Loan Facilities,Stable,CRISIL BB-
Enkay Foam Private Limited,Household Durables,Cash Credit Limit,Stable,CRISIL B
Enkay India Rubber Co. Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BBB-
Enrich Agro Food Products Private Limited,Beverages,Proposed Long-Term Bank Facility,Stable,CRISIL BBB
Enrich Exports,Engineering & Capital Goods,Long Term Bank Loan,Stable,CRISIL BB
Entech Oil AND Gas Engineering Private Limited,Electronic Equipment Instruments & Components,Proposed Working Capital Facility,Stable,CRISIL B
Entel Motors Private Limited,Specialty Retail,Channel Financing (LT),Stable,CRISIL BB-
Entertainment City Ltd,Real Estate Development,Term Loan Facilities,Stable,CRISIL BBB-
Entertainment Network India Limited,Media,Proposed Rupee Term Loan,Stable,CRISIL AA+
Entrack Overseas Private Limited,Distributors,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Entraco BKS Busducts Private Limited,Electrical Equipment,Proposed Term Loan,Stable,CRISIL B+
Entremonde Polycoaters Limited,Engineering & Capital Goods,Term Loan Facilities,Stable,CRISIL B
Envogue Wood Working Private Limited,Household Durables,Proposed Term Loan,Stable,CRISIL BB-
Enzal Chemicals India Limited,Pharmaceuticals,Cash Credit Limit,Stable,CRISIL B+
Enzen Global Solutions Private Limited,Professional Services,Non Convertible Debenture,Stable,CRISIL PP-MLD A-r
Eon Electric Limited,Electrical Equipment,Cash Credit Limit,Stable,CRISIL BBB-
Epari Sadashiv Private Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Eparis Jewellers,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B
Epitome Components Limited,Electronic Equipment Instruments & Components,Proposed Long-Term Bank Facility,Stable,CRISIL BBB
Epitome Plast-O-Pack Private Limited,Containers & Packaging,Working Capital Term Loan,Stable,CRISIL B-
Eplus Projects Private Limited,Construction & Engineering,Proposed Cash Credit Limit,Stable,CRISIL B+
Epson Vitrified Private Limited,Building Products,Rupee Term Loans,Stable,CRISIL B
Epygen Biotech Private Limited,Pharmaceuticals,Term Loan Facilities,Stable,CRISIL B
Equitas Small Finance Bank Limited,Non Banking Financial Company,Subordinated Debt,Stable,CRISIL A
Eram Motors Private Limited,Specialty Retail,Long Term Bank Loan,Stable,CRISIL B+
Ernad Constructions Company Private Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B
Ernad Engineering Enterprises,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB-
Erode Sri Palani Murugan Spinning Mills Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B+
Erode Steels,Distributors,Cash Credit Limit,Stable,CRISIL BB-
Eros Motors Private Limited,Specialty Retail,Cash Credit Limit,Stable,CRISIL B
Es Pee Enterprizers,Construction & Engineering,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Esdee Paints Limited,Chemicals,Proposed Term Loan,Stable,CRISIL A
Esh Ispat Private Limited,Metals & Mining,Proposed Cash Credit Limit,Stable,CRISIL B+
Esha Iron and Steel,Metals & Mining,Cash Credit Limit,Stable,CRISIL B
Eshwari Textile Processing Private Limited,Engineering & Capital Goods,Over Draft,Stable,CRISIL BB
Eshwarnath Constructions,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B
Eshwarr Steel Tech Private Limited,Machinery,Cash Credit Limit,Stable,CRISIL B
Esko Die Casting Private Limited,Electrical Equipment,Stand by Line of Credit,Stable,CRISIL BBB-
Esmario Export Enterprises Private Limited,Machinery,Foreign Bill Discounting Limit,Stable,CRISIL BB+
Espee Kumaran Textiles,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BB-
Ess Ell Foods Limited,Specialty Retail,Inventory Funding,Stable,CRISIL BB+
Ess Emm Enterprises,Trading Companies & Distributors,Cash Credit Limit,Stable,CRISIL B
Ess Gee Real Estate Developers Private Limited,Real Estate Development,Proposed Long-Term Bank Facility,Stable,CRISIL BBB-
Ess Gee Trendz Private Limited,Specialty Retail,Cash Credit Limit,Stable,CRISIL B
Essae Digitronics Private Limited,Industrial Conglomerates,Cash Credit/ Overdraft facility,Stable,CRISIL BBB+
Essal Infrastructure Private Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB-
Essar Steel Suppliers,Distributors,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Essee Metal Containers Private Limited,Containers & Packaging,Term Loan Facilities,Stable,CRISIL BB
Essel Finance Business Loans Limited,Non Banking Financial Company,Proposed Long-Term Bank Facility,Stable,CRISIL BBB-
Essen Deinki,Electrical Equipment,Cash Credit Limit,Stable,CRISIL BB-
Essen Trading Company,Food Products,Cash Credit Limit,Stable,CRISIL B
Esskay Machinery Private Limited,Machinery,Working Capital Demand Loan,Stable,CRISIL B-
Essma Textiles Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B+
Esspee Construction,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B
Esstee Exports,Engineering & Capital Goods,Foreign Bill Discounting Limit,Stable,CRISIL BBB-
Estocorp India Private Limited,Household Durables,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Esveeaar Distilleries Private Limited,Beverages,Cash Credit Limit,Stable,CRISIL B-
Eswar Rubber Products Private Limited,Auto Components,Cash Credit Limit,Stable,CRISIL BB
Eswari Exports Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL BB-
Eswari Global Metal Industries Private Limited,Metals & Mining,Cash Credit Limit,Stable,CRISIL BB+
Eswari Stores,Food & Staples Retailing,Cash Credit Limit,Stable,CRISIL B+
Eternal Motors Private Limited,Specialty Retail,Electronic Dealer Financing Scheme,Stable,CRISIL B
Eternis Fine Chemicals Limited,Chemicals,FCNR Loan,Positive,CRISIL A-
Eternity Globetex Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B+
Ethix Clothing,Specialty Retail,Cash Credit Limit,Stable,CRISIL BB+
Ethnic Agros Limited,Tobacco,Cash Credit Limit,Stable,CRISIL B
Ethnic Spices Private Limited,Tobacco,Cash Credit Limit,Stable,CRISIL B
Ethnic Tobacco India Limited,Tobacco,Rupee Term Loans,Stable,CRISIL B
Ethos Limited,Internet & Catalog Retail,Cash Credit Limit,Stable,CRISIL BBB-
Etica Developers Private Limited,Real Estate Development,Term Loan Facilities,Stable,CRISIL B
Eugen Laboratries Private Limited,Life Sciences Tools & Services,Proposed Long-Term Bank Facility,Stable,CRISIL B
Eureka Systems and Electrodes Private Limited,Machinery,Proposed Cash Credit Limit,Stable,CRISIL BB-
Euro Panel Products Private Limited,Building Products,Term Loan Facilities,Stable,CRISIL BB-
Euro Solar Power Private Limited,Independent Power Producers & Energy Traders,Term Loan Facilities,Stable,CRISIL BBB
Euro Vistaa India Limited,Distributors,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Euroamer Garuda Resorts India Private Limited,Hotels Restaurants & Leisure,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Eurokids International Private Limited,Diversified Consumer Services,Over Draft,Stable,CRISIL A-
Eurokon Global Exports Private Limited,Metals & Mining,Packing Credit,Stable,CRISIL B+
Eurolife Healthcare Private Limited,Pharmaceuticals,Proposed Long-Term Bank Facility,Stable,CRISIL BBB-
Euroschool Properties AND Infrastructure Private Limited,Diversified Consumer Services,Term Loan Facilities,Stable,CRISIL A-
Eurotek Environmental Private Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB
Eva Exotica Private Limited,Food Products,Term Loan Facilities,Stable,CRISIL BB+
Ever Green Fabric Process Private Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,Stable,CRISIL B
Ever Health Life Sciences Private Limited,Pharmaceuticals,Long Term Bank Loan,Stable,CRISIL B-
Everblue Sea Foods Private Limited,Food Products,Foreign Bill Discounting Limit,Stable,CRISIL B
Everest Industries Limited,Building Products,Proposed Long-Term Bank Facility,Negative,CRISIL A+
Everest Ply & Veneers (P) Ltd.,Construction Materials,Long Term Bank Loan,Stable,CRISIL BB
Evergreen Harvest Agro Products Private Limited,Food Products,Proposed Working Capital Facility,Stable,CRISIL BB-
Evergreen Publications India Limited,Media,Cash Credit Limit,Negative,CRISIL BBB-
Evertogen Life Science Limited,Pharmaceuticals,Cash Credit Limit,Stable,CRISIL BBB-
Evita Constructions Private Limited,Real Estate Development,Term Loan Facilities,Stable,CRISIL BBB
Evolute Systems Private Limited,Computers & Peripherals,Proposed Long-Term Bank Facility,Stable,CRISIL BBB-
Evolutionary Systems Private Limited,IT Services,Over Draft,Stable,CRISIL BBB-
Exceed Crop Science Private Limited,Chemicals,Cash Credit Limit,Stable,CRISIL B+
Excel,Engineering & Capital Goods,Proposed Long-Term Bank Facility,Stable,CRISIL B-
Excel Cotspin India Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BBB+
Excel Craft Machineries Private Limited,Machinery,Cash Credit Limit,Stable,CRISIL BB-
Excel Crop Care Limited,Chemicals,Cash Credit Limit,Stable,CRISIL AA-
Excel Engineers and Consultants,Machinery,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Excel Industries Limited,Chemicals,Cash Credit Limit,Stable,CRISIL A-
Excel Overseas Private Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,Stable,CRISIL BBB-
Excel Pack Limited,Containers & Packaging,Cash Credit Limit,Stable,CRISIL BB+
Excel Vinyl Coatings Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B+
Excellent Moulders,Containers & Packaging,Cash Credit Limit,Stable,CRISIL B+
Excellent Power Cable Private Limited,Electrical Equipment,Cash Credit Limit,Stable,CRISIL B
Excelra Knowledge Solutions Private Limited,IT Services,Proposed Long-Term Bank Facility,Stable,CRISIL BBB+
Exemed Pharmaceuticals,Pharmaceuticals,Proposed Long-Term Bank Facility,Stable,CRISIL BBB+
Exim Logistics Private Limited,Road & Rail,Proposed Long-Term Bank Facility,Stable,CRISIL BBB-
Eximcorp India Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL BBB-
Eximpipes Private Limited,Metals & Mining,Long Term Bank Loan,Stable,CRISIL BB
Exmart International Private Limited,Household Durables,Secured Overdraft against term deposits,Stable,CRISIL BB+
Exodus Futura Knit Private Limited,Engineering & Capital Goods,Term Loan Facilities,Stable,CRISIL B+
Exodus Ispat Private Limited,Building Products,Cash Credit Limit,Stable,CRISIL B+
Exotica Ceramic Private Limited,Building Products,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Expanded Polymer Systems Private Limited,Chemicals,Long Term Bank Loan,Stable,CRISIL BB+
Explicit Leathers,Engineering & Capital Goods,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Expo Freight Private Limited,Air Freight & Logistics,Cash Credit Limit,Stable,CRISIL BBB
Export Import Bank of India,Financial Institutions,Tier I Bonds (Under Basel III)(LT),Stable,CRISIL AA+
Express Infocom Private Limited,Hotels Restaurants & Leisure,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Express Infratech Private Limited,Construction Materials,Cash Credit Limit,Negative,CRISIL BB-
Exquisite Enterprises Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BB-
Extinct Fire Engineers Private Limited,Machinery,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Extraweave Private Limited,Engineering & Capital Goods,Foreign Bill Discounting Limit,Stable,CRISIL BB
Exult Logistics Private Limited,Road & Rail,Cash Credit Limit,Stable,CRISIL BBB-
Eytan Labs Limited,Pharmaceuticals,Cash Credit Limit,Stable,CRISIL BB
eGiant Agroconnect Private Limited,Distributors,Packing Credit,Stable,CRISIL B+
eZone Security Solutions (India) Private Limited,Commercial Services & Supplies,Cash Credit Limit,Stable,CRISIL BB
F. Harley AND Company Private Limited,Machinery,Cash Credit Limit,Stable,CRISIL BB
FCS Fluoro Carbon Seals Private Limited,Machinery,Open Cash Credit,Stable,CRISIL BB
FG Glass Industries Private Limited,Building Products,Cash Credit Limit,Stable,CRISIL BBB-
FINO Finance Pvt Ltd,Microfinance,Subordinated Debt,Stable,CRISIL BBB-
FSD Building Materials Private Limited,Trading Companies & Distributors,Proposed Long-Term Bank Facility,Stable,CRISIL B+
FSN E-Commerce Ventures Private Limited,Internet Software & Services,Cash Credit Limit,Stable,CRISIL BB
Fab India - New Delhi,Construction & Engineering,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Fab-Tech Works and Constructions Private Limited,Machinery,Cash Credit Limit,Stable,CRISIL BBB-
Fabindia Overseas Private Limited,Specialty Retail,Cash Credit Limit,Positive,CRISIL AA-
Fabjewels Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BBB
Fabmark Exports,Engineering & Capital Goods,Export Packing Credit,Stable,CRISIL B
Fabrimax Engineering Private Limited,Machinery,Cash Credit Limit,Stable,CRISIL B+
Fabtech Technologies International Limited,Machinery,Cash Credit Limit,Stable,CRISIL BBB+
Fair Deal Cars Private Limited,Specialty Retail,Cash Credit Limit,Stable,CRISIL BB+
Fair Deal Food Ventures Private Limited,Food Products,Over Draft,Stable,CRISIL BB+
Fairdeal Agencies Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL BB-
Fairdeal Consumer Durables Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL B+
Fairdeal Filaments Limited,Engineering & Capital Goods,Term Loan Facilities,Stable,CRISIL BBB-
Fairdeal Steels Private Limited,Distributors,Channel Financing (LT),Stable,CRISIL BB-
Falcon Business Resources Private Limited,Wireless Telecommunication Services,Secured Overdraft Facility,Stable,CRISIL B
Falcon Glass Palace,Distributors,Cash Credit Limit,Stable,CRISIL B
Falcon Marine Exports Limited,Food Products,Stand by Line of Credit,Stable,CRISIL A
Falcon Steels,Metals & Mining,Cash Credit Limit,Stable,CRISIL B+
Family Health Plan (TPA) Limited,Health Care Providers & Services,Cash Credit Limit,Stable,CRISIL A-
Famous Stationery Private Limited,Commercial Services & Supplies,Term Loan Facilities,Stable,CRISIL BB-
Fancy Fittings Limited,Containers & Packaging,Corporate Loan,Negative,CRISIL BBB-
Fanidhar Mega Food Park Private Limited,Commercial Services & Supplies,Proposed Long-Term Bank Facility,Stable,CRISIL B
Faran Teppich Exports Private Limited,Household Durables,Export Packing Credit,Stable,CRISIL B+
Farida Prime Tannery Private Limited,Engineering & Capital Goods,Long Term Bank Loan,Stable,CRISIL BB+
Faridabad Steel Mongers Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL BB-
Fariyas Hotels Private Limited,Hotels Restaurants & Leisure,Term Loan Facilities,Negative,CRISIL BBB-
Farmachem Life Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL B
Farmgate Agro Milch Private Limited,Food Products,Working Capital Facility,Stable,CRISIL BBB-
Farmico Cold Storage Private Limited,Commercial Services & Supplies,Mortgage Loan Facility,Stable,CRISIL B
Farmson Pharmaceutical Guj Private Limited,Pharmaceuticals,Cash Credit Limit,Stable,CRISIL BBB+
Fascination India,Engineering & Capital Goods,Export Packing Credit,Stable,CRISIL B-
Fashion Impex - Rajasthan,Engineering & Capital Goods,Term Loan Facilities,Stable,CRISIL B
Fashion Matrix Overseas,Engineering & Capital Goods,Proposed Long-Term Bank Facility,Stable,CRISIL BBB-
Fastbuild Blocks Private Limited,Construction Materials,Cash Credit Limit,Stable,CRISIL B-
Fastlink Connections Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL BB+
Fastway Transmissions Private Limited,Media,Proposed Long-Term Bank Facility,Stable,CRISIL BBB
Fathima Cashew Company,Trading Companies & Distributors,Packing Credit,Stable,CRISIL BB-
Fathima Engineering Company Private Limited,Electrical Equipment,Cash Credit Limit,Stable,CRISIL B+
Favourite Constructions Private Limited,Real Estate Development,Long Term Bank Loan,Stable,CRISIL BB
Favourite Plus Ceramic Private Limited,Building Products,Cash Credit Limit,Stable,CRISIL BB
Fcoms Tex,Specialty Retail,Proposed Long-Term Bank Facility,Stable,CRISIL B
Feather Spintex Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B+
Febin Marine Foods,Food Products,Packing Credit,Stable,CRISIL BB
Fedders Lloyd Corporation Limited,Industrial Conglomerates,Cash Credit Limit,Stable,CRISIL BBB-
Federal Agro Industries Private Limited,Food Products,Long Term Bank Loan,Stable,CRISIL BB
Fedora Sea Foods Private Limited,Food Products,Cash Credit Limit,Stable,CRISIL BB
Fena Private Limited,Personal Products,Cash Credit Limit,Stable,CRISIL A-
Feris Spintex Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B
Fermenta Biotech Limited,Pharmaceuticals,Cash Credit Limit,Positive,CRISIL BBB
Ferro Steel Solutions,Distributors,Inventory Funding,Stable,CRISIL BB-
Ferrum Extreme Engineering Private Limited,Machinery,Long Term Bank Loan,Stable,CRISIL BBB-
Fiat India Automobiles Limited,Automobiles,Proposed Long-Term Bank Facility,Positive,CRISIL A
Fibcom India Limited,Wireless Telecommunication Services,Cash Credit Limit,Stable,CRISIL B+
Fibro Plast Corporation,Distributors,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Fibro Plastichem India Private Limited,Machinery,Term Loan Facilities,Stable,CRISIL B-
Fidelity Contracts and Services Private Limited,Construction & Engineering,Proposed Long-Term Bank Facility,Stable,CRISIL BB
Field Motor Limited,Specialty Retail,Inventory Funding,Stable,CRISIL BB
Film Farm India Private Limited,Media,Cash Credit Limit,Stable,CRISIL B+
Filteration Engineers India Private Limited,Machinery,Cash Credit Limit,Stable,CRISIL BB
Filtrum Fibretechnologies Private Limited,Auto Components,Packing Credit,Stable,CRISIL A
Fimakem India Limited,Metals & Mining,Term Loan Facilities,Stable,CRISIL BBB+
Fine Fragrances Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL BBB-
Fine Jewellery Manufacturing Limited,Engineering & Capital Goods,Gold-On-Loan,Stable,CRISIL BB+
Fine Organics,Chemicals,Proposed Long-Term Bank Facility,Negative,CRISIL BBB-
Fine Spavy Associates and Engineers Private Limited,Machinery,Term Loan Facilities,Stable,CRISIL BB-
Fine Wood Products Pvt Ltd,Construction Materials,Buyers Credit,Stable,CRISIL BB-
Finessac Food Ingredients AND Colours Private Limited,Chemicals,Cash Credit Limit,Stable,CRISIL B+
Finolex Cables Limited,Electrical Equipment,Non Convertible Debenture,Stable,CRISIL AA+
Finolex Industries Limited,Machinery,Cash Credit Limit,Stable,CRISIL AA
Finolex Plasson Industries Private Limited,Construction & Engineering,Term Loan Facilities,Stable,CRISIL BBB+
Finstone Granito Private Limited,Construction Materials,Medium Term Loan,Stable,CRISIL B
Finvent Finance and Investments Limited,Non Banking Financial Company,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Fiotex Cotspin Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BB
Firdous Gold Pattambi LLP,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B-
Firefly Batteries Private Limited,Electrical Equipment,Cash Credit Limit,Stable,CRISIL B-
Fireworks Productions,Media,Cash Credit Limit,Stable,CRISIL BBB-
Firstsource Solutions Limited,IT Services,Cash Credit/ Overdraft facility,Stable,CRISIL A-
Fishfa Glass Centre,Distributors,Cash Credit Limit,Stable,CRISIL BB
Fit Tech Industries Private Limited,Machinery,Cash Credit Limit,Stable,CRISIL BB-
Fitex Industries Limited,Auto Components,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Five Core Electronics Limited,Household Durables,Cash Credit Limit,Stable,CRISIL BBB-
Five Star Builders,Construction & Engineering,Proposed Long-Term Bank Facility,Stable,CRISIL B-
Five Vision Promoters Private Limited,Real Estate Development,Term Loan Facilities,Stable,CRISIL BB-
Five-Star Business Finance Limited,Non Banking Financial Company,Non Convertible Debenture,Stable,CRISIL BBB
Fiza Exports Private Limited,Trading Companies & Distributors,Cash Credit Limit,Stable,CRISIL BB-
Flagmark Builders Private Limited,Real Estate Development,Term Loan Facilities,Stable,CRISIL B+
Flamingo Inn Private Limited (OPC),Hotels Restaurants & Leisure,Long Term Bank Loan,Stable,CRISIL B
Flavour Granito LLP,Building Products,Cash Credit Limit,Stable,CRISIL B+
Fleetguard Filters Private Limited,Auto Components,Cash Credit Limit,Stable,CRISIL AA
Flex Foods Limited,Food Products,Long Term Bank Loan,Stable,CRISIL BBB
Flexipol Foams Private Limited,Household Durables,Term Loan Facilities,Stable,CRISIL BB-
Floatels India Private Limited,Hotels Restaurants & Leisure,Long Term Bank Loan,Stable,CRISIL B+
Floor Gardens,Household Durables,Export Packing Credit,Stable,CRISIL B
Flora Laminate,Containers & Packaging,Long Term Bank Loan,Stable,CRISIL BB-
Florind Shoes Private Limited,Engineering & Capital Goods,Export Packing Credit,Stable,CRISIL B
Flovel Energy Private Limited,Electrical Equipment,Proposed Long-Term Bank Facility,Stable,CRISIL BBB
Flow Tech Power,Machinery,Cash Credit Limit,Stable,CRISIL BB-
Flowtech Industries LLP,Construction & Engineering,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Focus Comtrade Private Limited,Broking Company,Proposed Long-Term Bank Facility,Stable,CRISIL B+
Focus Edu-Care Private Limited,Diversified Consumer Services,Cash Credit/ Overdraft facility,Stable,CRISIL BB-
Focus Edumatics Private Limited,Diversified Consumer Services,Proposed Long-Term Bank Facility,Stable,CRISIL BB-
Focus Infra Solutions,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB
Fomento Resources Private Limited,Metals & Mining,Proposed Long-Term Bank Facility,Stable,CRISIL BBB+
Fonroche Raajhans Energy Private Limited,Independent Power Producers & Energy Traders,Long Term Bank Loan,Stable,CRISIL A
Fonroche Saaras Energy Private Limited,Independent Power Producers & Energy Traders,Long Term Bank Loan,Stable,CRISIL A
