Company Name,Industry,Instrument,Outlook,Rating
A.M. Fisheries,Food Products,Long Term Bank Loan,Stable,CRISIL BB-
A.M. Kanniappa Mudaliar AND A.M.K. Jambulinga Mudaliar Educational Trust,Diversified Consumer Services,Cash Credit Limit,Stable,CRISIL BB
A.N.E. Industries Private Limited,Oil Gas & Consumable Fuels,Proposed Long-Term Bank Facility,Stable,CRISIL B
A.P.I. Civilcon Private Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB+
A.R. Thermosets Private Limited,Construction Materials,Cash Credit Limit,Stable,CRISIL BB
A.R.R. Foods And Consumer Products Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL BB
A.R.T. Fabrication Industries Private Limited,Machinery,Cash Credit Limit,Stable,CRISIL B+
A.S. Emporium,Distributors,Cash Credit Limit,Stable,CRISIL B+
A.S. Shipping Agencies Private Limited,Air Freight & Logistics,Long Term Bank Loan,Stable,CRISIL BBB-
A.S. Steel Traders,Distributors,Cash Credit Limit,Stable,CRISIL BB-
A.S.Cargo Movers Private Limited,Air Freight & Logistics,Lease Rental Discounting Loan,Stable,CRISIL B+
A.T. Trade Overseas Private Limited,Distributors,Letter of Credit (LC),Stable,CRISIL BBB-
A.T.E. Enterprises Private Limited,Machinery,Long Term Bank Loan,Stable,CRISIL BBB-
A.V. Marble Palace,Distributors,Cash Credit Limit,Stable,CRISIL B+
A.V. Properties India Private Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB-
A.V. Thomas Leather and Allied Products Private Limited,Engineering & Capital Goods,Stand by Line of Credit,Stable,CRISIL BBB+
A.V. Thomas and Co. Limited,Food Products,Cash Credit Limit,Stable,CRISIL A
A.V.M.Sales Corporation,Distributors,Proposed Overdraft Facility,Stable,CRISIL BB-
A.V.N. Saigal Plastic Industries,Distributors,Proposed Fund-Based Bank Limits,Stable,CRISIL BB
A.V.R.N.Hotels Private Limited,Hotels Restaurants & Leisure,Term Loan Facilities,Stable,CRISIL B-
AAA Paper Limited,Trading Companies & Distributors,Cash Credit Limit,Stable,CRISIL BB-
AAR CEE Contracts Private Limited,Construction & Engineering,Proposed Fund-Based Bank Limits,Stable,CRISIL BB
AAR DEE Extrusions (India) Private Limited,Metals & Mining,Proposed Long-Term Bank Facility,Stable,CRISIL B+
AAVAS Financiers Limited,Housing Finance Company,Proposed Long-Term Bank Facility,Stable,CRISIL A
ABB Global Industries and Services Private Limited,Professional Services,Cash Credit Limit,Stable,CRISIL AA+
ABB India Limited,Electrical Equipment,Non Convertible Debenture,Stable,CRISIL AAA
ABC Chemical Exports Private Limited,Distributors,Foreign Bill Purchase,Stable,CRISIL BB
ABC Fruits,Food Products,Long Term Bank Loan,Stable,CRISIL B+
ABC Inc,Distributors,Cash Credit Limit,Stable,CRISIL BB-
ABM 4 Builders,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB-
ABM Civil Ventures Private Limited,Construction & Engineering,Over Draft,Stable,CRISIL B+
ABM Knowledgeware Limited,Software,Cash Credit Limit,Stable,CRISIL BBB+
ABR Petro Products Limited,Containers & Packaging,Over Draft,Stable,CRISIL B
